Subsection Index,Subsection Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
0,"Airport Lake, Subsection 0",0.05087,0.01991,0.02767,0.03326,0.04232,0.0508,0.03343
1,"Airport Lake, Subsection 1",0.05391,0.02113,0.02937,0.03526,0.04493,0.05379,0.03548
2,"Airport Lake, Subsection 2",0.03856,0.01502,0.02076,0.02508,0.03204,0.03851,0.02526
3,"Airport Lake, Subsection 3",0.02864,0.01108,0.0153,0.01855,0.02374,0.02861,0.01861
4,"Airport Lake, Subsection 4",0.01855,0.00737,0.01009,0.01223,0.01543,0.01854,0.01216
5,"Airport Lake, Subsection 5",0.01466,0.00588,0.00802,0.00975,0.01235,0.01466,0.00957
6,"Almanor 2011 CFM, Subsection 0",1.0E-5,0.0,0.0,1.0E-5,1.0E-5,1.0E-5,0.0
7,"Almanor 2011 CFM, Subsection 1",1.0E-5,0.0,0.0,1.0E-5,1.0E-5,1.0E-5,0.0
8,"Almanor 2011 CFM, Subsection 2",1.0E-5,0.0,0.0,1.0E-5,1.0E-5,1.0E-5,0.0
9,"Almanor 2011 CFM, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"Almanor 2011 CFM, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Almanor 2011 CFM, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"Almanor 2011 CFM, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"Anacapa-Dume alt 2, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Anacapa-Dume alt 2, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"Anacapa-Dume alt 2, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"Anacapa-Dume alt 2, Subsection 3",2.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,2.0E-5,2.0E-5
17,"Anacapa-Dume alt 2, Subsection 4",2.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,2.0E-5,2.0E-5
18,"Anacapa-Dume alt 2, Subsection 5",2.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,2.0E-5,2.0E-5
19,"Anacapa-Dume alt 2, Subsection 6",1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5
20,"Anacapa-Dume alt 2, Subsection 7",1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5
21,"Anacapa-Dume alt 2, Subsection 8",1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5
22,"Anaheim, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Anaheim, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,"Anaheim, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,"Antelope Valley 2011, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0,0.0
