Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,100 yr Probability,100 yr Supra-Seis Prob
5.0,7.84163,6.49,9.66,7.78,7.55,8.608642,1.0,1.0
5.1,6.2064,5.09,7.71,6.16,5.97,6.830068,1.0,1.0
5.2,4.90697,3.99,6.13,4.87,4.88,5.4173,1.0,1.0
5.3,3.87135,3.13,4.85,3.84,3.72,4.2950974,1.0,1.0
5.4,3.05752,2.43,3.82,3.03,3.04,3.4037008,1.0,1.0
5.5,2.4074,1.89,3.04,2.38,2.31,2.6956394,1.0,1.0
5.6,1.89119,1.47,2.41,1.87,1.87,2.1332066,1.0,1.0
5.7,1.47634,1.12,1.9,1.46,1.51,1.6863642,1.0,1.0
5.8,1.15102,0.85,1.49,1.14,1.09,1.3311276,1.0,1.0
5.9,0.88066,0.63,1.16,0.88,0.89,1.0356472,1.0,1.0
6.0,0.69689,0.49,0.93,0.69,0.68,0.83624506,1.0,1.0
6.1,0.53549,0.36,0.72,0.53,0.52,0.66032434,1.0,1.0
6.2,0.41958,0.27,0.58,0.42,0.42,0.5290011,1.0,1.0
6.3,0.32647,0.2,0.47,0.32,0.31,0.42016467,1.0,1.0
6.4,0.24884,0.14,0.37,0.24,0.24,0.33243415,1.0,1.0
6.5,0.18928,0.09,0.3,0.19,0.21,0.2601263,1.0,1.0
6.6,0.14399,0.07,0.23,0.14,0.15,0.20548344,1.0,1.0
6.7,0.10634,0.05,0.18,0.1,0.11,0.16021843,1.0,0.998
6.8,0.08027,0.03,0.15,0.08,0.06,0.12689023,1.0,0.997
6.9,0.05999,0.02,0.12,0.06,0.06,0.09975841,0.997,0.994
7.0,0.04438,0.01,0.09,0.04,0.03,0.077940285,0.989,0.977
7.1,0.0325,0.0,0.07,0.03,0.03,0.05961322,0.966,0.948
7.2,0.02249,0.0,0.05,0.02,0.02,0.045241926,0.908,0.882
7.3,0.01719,0.0,0.05,0.02,0.01,0.035294022,0.843,0.824
7.4,0.01145,0.0,0.04,0.01,0.01,0.026938815,0.688,0.674
7.5,0.00735,0.0,0.03,0.01,0.0,0.019023713,0.518,0.514
7.6,0.00422,0.0,0.02,0.0,0.0,0.013821237,0.343,0.339
7.7,0.00225,0.0,0.01,0.0,0.0,0.009578903,0.2,0.197
7.8,0.0012,0.0,0.01,0.0,0.0,0.006191872,0.114,0.112
7.9,6.0E-4,0.0,0.01,0.0,0.0,0.0035149523,0.059,0.059
8.0,3.3E-4,0.0,0.01,0.0,0.0,0.0020316083,0.033,0.033
8.1,1.3E-4,0.0,0.0,0.0,0.0,0.0010248122,0.013,0.013
8.2,1.0E-5,0.0,0.0,0.0,0.0,4.4834707E-4,0.001,0.001
8.3,0.0,0.0,0.0,0.0,0.0,1.0199686E-4,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
