Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,2255.5076,1749.0,4643.0,2008.0,1900.0,1.0,0.16346,1428.8065
2.6,1791.4338,1383.0,3701.0,1596.0,1502.0,1.0,0.16346,1134.7972
2.7,1422.9424,1094.0,2943.0,1268.0,1230.0,1.0,0.16346,901.38556
2.8,1130.2655,864.0,2341.0,1008.0,950.0,1.0,0.16346,715.9582
2.9,897.80707,682.0,1860.0,802.0,781.0,1.0,0.16346,568.6707
3.0,713.1226,538.0,1481.0,637.0,606.0,1.0,0.16346,451.6943
3.1,566.4491,424.0,1180.0,506.0,475.0,1.0,0.16346,358.8014
3.2,449.97906,333.0,936.0,403.0,382.0,1.0,0.16346,285.03735
3.3,357.3958,261.0,743.0,320.0,304.0,1.0,0.16346,226.37988
3.4,283.8477,204.0,594.0,255.0,241.0,1.0,0.16346,179.78816
3.5,225.42688,159.0,471.0,203.0,194.0,1.0,0.16346,142.80177
3.6,179.03793,124.0,376.0,161.0,152.0,1.0,0.16346,113.40385
3.7,142.20415,96.0,300.0,128.0,122.0,1.0,0.16346,90.05331
3.8,112.93344,75.0,239.0,102.0,98.0,1.0,0.16346,71.52364
3.9,89.67528,58.0,190.0,81.0,77.0,1.0,0.16346,56.79326
4.0,71.20927,44.0,152.0,64.0,62.0,1.0,0.16346,45.09151
4.1,56.52904,34.0,122.0,51.0,48.0,1.0,0.16346,35.79853
4.2,44.86586,25.0,97.0,41.0,38.0,1.0,0.16346,28.40622
4.3,35.60367,19.0,78.0,32.0,31.0,1.0,0.16346,22.54926
4.4,28.23617,14.0,62.0,26.0,24.0,1.0,0.16346,17.87899
4.5,22.40052,10.0,50.0,20.0,19.0,1.0,0.16346,14.18202
4.6,17.75587,8.0,40.0,16.0,15.0,1.0,0.16346,11.2379
4.7,14.07265,5.0,33.0,13.0,11.0,0.99999,0.16346,8.90298
4.8,11.15477,4.0,27.0,10.0,9.0,0.99983,0.16346,7.05364
4.9,8.82713,2.0,22.0,8.0,7.0,0.99904,0.16346,5.58171
5.0,6.97585,1.0,18.0,6.0,5.0,0.99582,0.16346,4.40787
5.1,5.50053,1.0,15.0,5.0,4.0,0.987,0.16346,3.46979
5.2,4.3307,0.0,12.0,4.0,3.0,0.96739,0.16346,2.72831
5.3,3.40452,0.0,10.0,3.0,2.0,0.93362,0.16346,2.14296
5.4,2.67047,0.0,8.0,2.0,2.0,0.88345,0.16346,1.67919
5.5,2.08331,0.0,7.0,2.0,1.0,0.81495,0.16346,1.30361
5.6,1.6188,0.0,6.0,1.0,1.0,0.73497,0.16345,1.01048
5.7,1.24865,0.0,5.0,1.0,0.0,0.64448,0.16345,0.77631
5.8,0.95884,0.0,4.0,1.0,0.0,0.5503,0.16345,0.59176
5.9,0.72591,0.0,3.0,0.0,0.0,0.4564,0.16342,0.44453
6.0,0.56201,0.0,3.0,0.0,0.0,0.37641,0.16338,0.33825
6.1,0.41313,0.0,2.0,0.0,0.0,0.29804,0.1442,0.24865
6.2,0.27883,0.0,2.0,0.0,0.0,0.21591,0.1157,0.16591
6.3,0.21335,0.0,2.0,0.0,0.0,0.17149,0.09955,0.12645
6.4,0.16355,0.0,1.0,0.0,0.0,0.13375,0.08653,0.09448
6.5,0.12723,0.0,1.0,0.0,0.0,0.10604,0.07616,0.07347
6.6,0.10616,0.0,1.0,0.0,0.0,0.09197,0.07082,0.06331
6.7,0.08664,0.0,1.0,0.0,0.0,0.0762,0.06129,0.05228
6.8,0.07163,0.0,1.0,0.0,0.0,0.06421,0.05437,0.0434
6.9,0.0561,0.0,1.0,0.0,0.0,0.05158,0.0451,0.03454
7.0,0.04428,0.0,1.0,0.0,0.0,0.04116,0.03733,0.02691
7.1,0.03693,0.0,1.0,0.0,0.0,0.0348,0.03265,0.02219
7.2,0.0283,0.0,1.0,0.0,0.0,0.02696,0.02583,0.01667
7.3,0.02015,0.0,0.0,0.0,0.0,0.01936,0.01879,0.01166
7.4,0.01789,0.0,0.0,0.0,0.0,0.01724,0.01704,0.01027
7.5,0.01465,0.0,0.0,0.0,0.0,0.01416,0.01411,0.00824
7.6,0.00757,0.0,0.0,0.0,0.0,0.00732,0.0073,0.00431
7.7,0.00242,0.0,0.0,0.0,0.0,0.00234,0.00234,0.00125
7.8,0.0017,0.0,0.0,0.0,0.0,0.00168,0.00168,8.7E-4
7.9,0.00103,0.0,0.0,0.0,0.0,0.00103,0.00103,5.4E-4
8.0,2.9E-4,0.0,0.0,0.0,0.0,2.9E-4,2.9E-4,1.6E-4
8.1,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,1.0E-5
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
