Name,1 Week Prob M≥7.1,1 Month Prob M≥7.1,1 Month Mean Num M≥3.5,1 Month Median Num M≥3.5,1 Month Garlock Prob M≥7,1 Month SAF Mojave Prob M≥7
"[M7.1, ShakeMap Source, 7 Days After](../2019_07_16-ComCatM7p1_ci38457511_7DaysAfter_ShakeMapSurfaces-noSpont-full_td-scale1.14/README.md)",0.329%,0.776%,61.7,53.0,0.661%,0.136%
"[M7.1, Point Source, 7 Days After](../2019_09_09-ComCatM7p1_ci38457511_7DaysAfter_PointSources/README.md)",0.187%,0.461%,61.4,55.0,0.315%,0.112%
"[M7.1, Quad Source, 7 Days After](../2019_07_12-ComCatM7p1_ci38457511_7DaysAfter_FiniteSurface-noSpont-full_td-scale1.14/README.md)",0.409%,0.973%,62.7,53.0,0.881%,0.144%
"[M7.1, ShakeMap Source (Planar Extents), 7 Days After](../2019_09_09-ComCatM7p1_ci38457511_7DaysAfter_ShakeMapSurfaces_PlanarExtents/README.md)",0.473%,1.145%,66.4,56.0,1.046%,0.154%
"[M7.1, ShakeMap Source, Seq. Specific, 7 Days After](../2019_09_09-ComCatM7p1_ci38457511_7DaysAfter_MainshockLog10_k_2p3_ShakeMapSurfaces_Log10_k_3p03_p1p15/README.md)",0.174%,0.424%,28.2,27.0,0.382%,0.101%
Range,[0.174% 0.473%],[0.424% 1.145%],[28.2 66.4],[27.0 56.0],[0.315% 1.046%],[0.101% 0.154%]
"Gain (w.r.t. M7.1, ShakeMap Source, 7 Days After)",[0.53 1.44],[0.55 1.48],[0.46 1.08],[0.51 1.06],[0.48 1.58],[0.74 1.13]
