Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,24.39515,0.0,111.0,8.0,2.0,0.94624,0.00757,12.24971
2.6,19.37291,0.0,88.0,7.0,1.0,0.92681,0.00757,9.73124
2.7,15.38645,0.0,70.0,5.0,1.0,0.90255,0.00757,7.73078
2.8,12.2314,0.0,56.0,4.0,1.0,0.87299,0.00757,6.14817
2.9,9.71869,0.0,45.0,3.0,0.0,0.83778,0.00757,4.87867
3.0,7.72011,0.0,36.0,3.0,0.0,0.79785,0.00757,3.87488
3.1,6.13325,0.0,29.0,2.0,0.0,0.75374,0.00757,3.07881
3.2,4.87567,0.0,23.0,2.0,0.0,0.70427,0.00757,2.4479
3.3,3.87302,0.0,19.0,1.0,0.0,0.65066,0.00757,1.94469
3.4,3.07618,0.0,15.0,1.0,0.0,0.59613,0.00757,1.54488
3.5,2.44436,0.0,12.0,1.0,0.0,0.54013,0.00757,1.22683
3.6,1.93951,0.0,10.0,0.0,0.0,0.48507,0.00757,0.97322
3.7,1.54196,0.0,8.0,0.0,0.0,0.43244,0.00757,0.77658
3.8,1.22763,0.0,7.0,0.0,0.0,0.38091,0.00757,0.61796
3.9,0.97656,0.0,6.0,0.0,0.0,0.33186,0.00757,0.49222
4.0,0.77815,0.0,5.0,0.0,0.0,0.28689,0.00757,0.39185
4.1,0.61967,0.0,4.0,0.0,0.0,0.24678,0.00757,0.31282
4.2,0.4934,0.0,3.0,0.0,0.0,0.21038,0.00757,0.24963
4.3,0.39274,0.0,3.0,0.0,0.0,0.17868,0.00757,0.19936
4.4,0.31243,0.0,2.0,0.0,0.0,0.14975,0.00757,0.15835
4.5,0.24908,0.0,2.0,0.0,0.0,0.12534,0.00757,0.12682
4.6,0.1987,0.0,2.0,0.0,0.0,0.10448,0.00757,0.10142
4.7,0.15805,0.0,1.0,0.0,0.0,0.08648,0.00757,0.08071
4.8,0.12641,0.0,1.0,0.0,0.0,0.07173,0.00757,0.06456
4.9,0.10069,0.0,1.0,0.0,0.0,0.0594,0.00757,0.05163
5.0,0.08105,0.0,1.0,0.0,0.0,0.0495,0.00757,0.0419
5.1,0.065,0.0,1.0,0.0,0.0,0.04109,0.00757,0.03406
5.2,0.05275,0.0,1.0,0.0,0.0,0.03436,0.00757,0.02806
5.3,0.04295,0.0,1.0,0.0,0.0,0.02872,0.00757,0.02308
5.4,0.03506,0.0,0.0,0.0,0.0,0.02403,0.00757,0.01924
5.5,0.02889,0.0,0.0,0.0,0.0,0.02053,0.00757,0.01623
5.6,0.02365,0.0,0.0,0.0,0.0,0.01757,0.00757,0.01367
5.7,0.0199,0.0,0.0,0.0,0.0,0.01532,0.00757,0.0117
5.8,0.01688,0.0,0.0,0.0,0.0,0.01341,0.00757,0.01022
5.9,0.01454,0.0,0.0,0.0,0.0,0.01212,0.00757,0.00916
6.0,0.01278,0.0,0.0,0.0,0.0,0.0111,0.00757,0.00833
6.1,0.01132,0.0,0.0,0.0,0.0,0.01015,0.00757,0.00753
6.2,0.01007,0.0,0.0,0.0,0.0,0.00935,0.00757,0.00687
6.3,0.00924,0.0,0.0,0.0,0.0,0.00877,0.00757,0.0064
6.4,0.00861,0.0,0.0,0.0,0.0,0.00833,0.00754,0.00606
6.5,0.00286,0.0,0.0,0.0,0.0,0.00277,0.00216,0.0019
6.6,0.00269,0.0,0.0,0.0,0.0,0.00263,0.00215,0.00179
6.7,0.00143,0.0,0.0,0.0,0.0,0.00141,0.00103,8.8E-4
6.8,7.2E-4,0.0,0.0,0.0,0.0,7.2E-4,4.9E-4,4.5E-4
6.9,5.1E-4,0.0,0.0,0.0,0.0,5.1E-4,3.5E-4,3.0E-4
7.0,3.8E-4,0.0,0.0,0.0,0.0,3.8E-4,2.9E-4,2.5E-4
7.1,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,0.0,3.0E-5
7.2,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,0.0,3.0E-5
7.3,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0,1.0E-5
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
