Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",86,7.1,86,7.1,0.223,0.000,0.223,0.000,5.612,0.000
Little Lake,"327, 90, 180",16,3.85,17,7.1,2.321,0.000,9.788,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",2,3.21,3,7.1,5.697,0.000,5.697,0.000,31.947,19.940
So Sierra Nevada,"2, 50, -90",1,2.75,1,2.75,1.410,0.000,2.504,1.926,16.191,15.188
Tank Canyon,"189, 50, -90",0,,0,,9.884,9.195,9.884,9.195,23.737,23.674
Blackwater,"323, 90, 180",0,,0,,13.591,9.547,13.591,9.547,39.380,38.300
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,27.685,26.537,36.559,32.668
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.618,41.123,40.898,45.679,43.721
Panamint Valley,"334, 90, -150",0,,0,,30.387,18.415,30.387,18.415,40.236,28.550
Ash Hill,"162, 90, 180",0,,0,,33.252,22.790,35.296,24.239,36.003,25.242
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,35.386,26.025,35.386,26.025,58.562,52.470
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,36.514,24.660,49.629,37.770,65.700,53.653
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,37.553,34.997,37.968,37.565,58.680,58.391
McLean Lake,"91, 90, 0",0,,0,,39.017,38.717,39.017,38.717,64.927,61.453
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,40.346,38.302,51.880,51.809,64.327,63.973
Lenwood-Lockhart-Old Woman Springs,"301, 90, 180",0,,0,,41.188,30.428,52.126,40.302,63.646,53.437
Goldstone Lake,"325, 90, 180",0,,0,,41.267,35.222,41.267,35.222,67.845,63.678
Kern Canyon (Lake Isabella) 2011,"18, 60, -90",0,,0,,43.209,41.308,54.762,54.698,66.376,66.044
Garlock (East),"91, 90, 0",0,,0,,45.654,45.515,45.654,45.515,67.792,65.602
Nelson Lake,"89, 90, 0",0,,0,,45.815,44.453,45.815,44.453,72.715,68.544
Owl Lake,"58, 90, 0",0,,0,,45.862,41.511,45.862,41.511,67.691,59.287
Paradise,"347, 90, 180",0,,0,,46.626,37.887,46.626,37.887,74.184,66.540
Owens Valley,"346, 90, 180",0,,0,,46.826,46.011,46.826,46.453,68.299,66.819
Garlock (West),"56, 90, 0",0,,0,,48.316,47.487,64.104,62.040,66.727,62.627
Helendale-So Lockhart,"322, 90, 180",0,,0,,50.353,44.098,54.608,44.752,73.478,66.589
Kern Canyon (North Kern) 2011,"1, 60, -90",0,,0,,52.371,50.809,59.654,59.588,81.168,80.888
Towne Pass,"186, 50, -90",0,,0,,53.476,52.545,53.476,52.545,59.662,59.451
Coyote Canyon,"96, 90, 0",0,,0,,58.892,53.923,58.892,53.923,86.686,80.117
Death Valley (Black Mtns Frontal),"167, 60, -150",0,,0,,65.311,64.473,65.361,64.473,74.420,74.227
Hunter Mountain-Saline Valley,"304, 90, -150",0,,0,,66.535,55.250,66.535,55.250,77.497,67.795
Independence rev 2011,"313, 50, -90",0,,0,,70.146,69.475,71.107,70.658,92.154,92.123
Coyote Lake,"73, 90, 0",0,,0,,70.986,59.873,70.986,59.873,99.919,88.876
Death Valley (So),"315, 90, 180",0,,0,,71.678,59.887,71.678,59.887,83.064,72.895
Garlic Springs,"128, 90, 180",0,,0,,72.041,70.962,72.041,70.962,99.984,99.657
Bicycle Lake,"103, 90, 0",0,,0,,72.852,71.759,72.852,71.759,100.468,97.861
White Wolf,"41, 75, 60",0,,0,,75.716,74.922,87.297,87.026,89.285,88.663
Calico-Hidalgo,"306, 90, 180",0,,0,,76.116,75.929,76.116,75.929,104.984,104.911
Manix-Afton Hills,"73, 90, 0",0,,0,,94.481,84.544,94.481,84.544,123.491,113.498
Death Valley (No),"313, 90, 180",0,,0,,103.654,91.708,103.654,91.708,107.220,95.600
