Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",776,7.1,776,7.1,0.145,0.000,0.223,0.000,5.612,0.000
Little Lake,"327, 90, 180",270,5.5,271,7.1,1.937,0.000,9.788,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",95,4.49,96,7.1,0.225,0.000,5.697,0.000,31.947,19.940
So Sierra Nevada,"2, 50, -90",61,4.52,61,4.52,1.134,0.000,2.504,1.926,16.191,15.188
Ash Hill,"162, 90, 180",15,3.57,15,3.57,0.563,0.000,35.296,24.239,36.003,25.242
Panamint Valley,"334, 90, -150",14,3.57,14,3.57,6.408,0.000,30.387,18.415,40.236,28.550
Tank Canyon,"189, 50, -90",1,3.0,1,3.0,1.252,0.000,9.884,9.195,23.737,23.674
Blackwater,"323, 90, 180",1,3.54,1,3.54,5.396,0.000,13.591,9.547,39.380,38.300
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,5.696,3.696,37.968,37.565,58.680,58.391
Owens Valley,"346, 90, 180",0,,0,,13.567,12.581,46.826,46.453,68.299,66.819
Scodie Lineament,"221, 68, 0",0,,0,,16.722,15.781,27.685,26.537,36.559,32.668
Lenwood-Lockhart-Old Woman Springs,"301, 90, 180",0,,0,,18.692,16.534,52.126,40.302,63.646,53.437
Garlock (West),"56, 90, 0",0,,0,,19.042,18.949,64.104,62.040,66.727,62.627
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,24.154,12.740,35.386,26.025,58.562,52.470
Towne Pass,"186, 50, -90",0,,0,,24.314,24.235,53.476,52.545,59.662,59.451
White Wolf (Extension),"46, 75, 60",0,,0,,30.051,29.420,41.123,40.898,45.679,43.721
McLean Lake,"91, 90, 0",0,,0,,32.089,31.949,39.017,38.717,64.927,61.453
Kern Canyon (North Kern) 2011,"1, 60, -90",0,,0,,33.604,31.897,59.654,59.588,81.168,80.888
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,33.703,32.006,51.880,51.809,64.327,63.973
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,34.153,22.562,49.629,37.770,65.700,53.653
Goldstone Lake,"325, 90, 180",0,,0,,34.269,25.000,41.267,35.222,67.845,63.678
Helendale-So Lockhart,"322, 90, 180",0,,0,,37.040,33.695,54.608,44.752,73.478,66.589
Independence rev 2011,"313, 50, -90",0,,0,,37.627,37.086,71.107,70.658,92.154,92.123
Paradise,"347, 90, 180",0,,0,,37.645,26.788,46.626,37.887,74.184,66.540
Nelson Lake,"89, 90, 0",0,,0,,38.056,37.680,45.815,44.453,72.715,68.544
Owl Lake,"58, 90, 0",0,,0,,38.968,32.111,45.862,41.511,67.691,59.287
Garlock (East),"91, 90, 0",0,,0,,38.982,38.344,45.654,45.515,67.792,65.602
Death Valley (Black Mtns Frontal),"167, 60, -150",0,,0,,40.923,39.579,65.361,64.473,74.420,74.227
Kern Canyon (Lake Isabella) 2011,"18, 60, -90",0,,0,,43.209,41.308,54.762,54.698,66.376,66.044
Hunter Mountain-Saline Valley,"304, 90, -150",0,,0,,44.060,32.957,66.535,55.250,77.497,67.795
Coyote Canyon,"96, 90, 0",0,,0,,48.877,46.675,58.892,53.923,86.686,80.117
Death Valley (So),"315, 90, 180",0,,0,,53.020,45.781,71.678,59.887,83.064,72.895
White Wolf,"41, 75, 60",0,,0,,55.658,52.419,87.297,87.026,89.285,88.663
Coyote Lake,"73, 90, 0",0,,0,,56.498,45.740,70.986,59.873,99.919,88.876
Garlic Springs,"128, 90, 180",0,,0,,61.395,58.520,72.041,70.962,99.984,99.657
Calico-Hidalgo,"306, 90, 180",0,,0,,61.511,61.496,76.116,75.929,104.984,104.911
Bicycle Lake,"103, 90, 0",0,,0,,62.746,62.523,72.852,71.759,100.468,97.861
Death Valley (No),"313, 90, 180",0,,0,,69.783,58.196,103.654,91.708,107.220,95.600
Manix-Afton Hills,"73, 90, 0",0,,0,,80.606,71.272,94.481,84.544,123.491,113.498
