Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,45.6289,15.0,92.0,27.0,24.0,1.0,0.0079,21.4534
2.6,36.2298,11.0,74.0,21.0,19.0,1.0,0.0079,17.0328
2.7,28.7441,8.0,58.0,17.0,15.0,1.0,0.0079,13.5129
2.8,22.8375,6.0,47.0,13.0,12.0,1.0,0.0079,10.7378
2.9,18.1542,4.0,38.0,11.0,9.0,0.9998,0.0079,8.5353
3.0,14.3925,3.0,30.0,8.0,7.0,0.9991,0.0079,6.7581
3.1,11.4298,2.0,25.0,7.0,5.0,0.9962,0.0079,5.3681
3.2,9.0664,1.0,20.0,5.0,4.0,0.9876,0.0079,4.2468
3.3,7.2214,0.0,16.0,4.0,3.0,0.9714,0.0079,3.3862
3.4,5.731,0.0,14.0,3.0,2.0,0.9425,0.0079,2.683
3.5,4.56,0.0,11.0,2.0,2.0,0.8982,0.0079,2.1296
3.6,3.6268,0.0,9.0,2.0,1.0,0.8389,0.0079,1.6928
3.7,2.8626,0.0,8.0,1.0,1.0,0.768,0.0079,1.343
3.8,2.2776,0.0,7.0,1.0,0.0,0.6874,0.0079,1.0713
3.9,1.8072,0.0,6.0,1.0,0.0,0.6087,0.0079,0.8474
4.0,1.4323,0.0,5.0,1.0,0.0,0.5313,0.0079,0.6667
4.1,1.1415,0.0,4.0,0.0,0.0,0.4537,0.0079,0.5296
4.2,0.9035,0.0,4.0,0.0,0.0,0.3874,0.0079,0.4224
4.3,0.7206,0.0,3.0,0.0,0.0,0.3254,0.0079,0.336
4.4,0.5691,0.0,3.0,0.0,0.0,0.2687,0.0079,0.2638
4.5,0.4502,0.0,2.0,0.0,0.0,0.2202,0.0079,0.2071
4.6,0.3601,0.0,2.0,0.0,0.0,0.1846,0.0079,0.1691
4.7,0.2875,0.0,2.0,0.0,0.0,0.1531,0.0079,0.1357
4.8,0.2269,0.0,2.0,0.0,0.0,0.1267,0.0079,0.109
4.9,0.1814,0.0,1.0,0.0,0.0,0.1039,0.0079,0.0876
5.0,0.1424,0.0,1.0,0.0,0.0,0.0842,0.0079,0.0704
5.1,0.1131,0.0,1.0,0.0,0.0,0.0691,0.0079,0.0566
5.2,0.0898,0.0,1.0,0.0,0.0,0.0552,0.0079,0.0447
5.3,0.0716,0.0,1.0,0.0,0.0,0.0462,0.0079,0.0367
5.4,0.0573,0.0,1.0,0.0,0.0,0.0379,0.0079,0.0304
5.5,0.0452,0.0,1.0,0.0,0.0,0.0308,0.0079,0.0243
5.6,0.0341,0.0,0.0,0.0,0.0,0.0245,0.0079,0.0196
5.7,0.0261,0.0,0.0,0.0,0.0,0.0191,0.0079,0.0156
5.8,0.0207,0.0,0.0,0.0,0.0,0.0154,0.0079,0.0125
5.9,0.0158,0.0,0.0,0.0,0.0,0.0124,0.0074,0.0105
6.0,0.0132,0.0,0.0,0.0,0.0,0.0104,0.007,0.009
6.1,0.0097,0.0,0.0,0.0,0.0,0.0081,0.006,0.0067
6.2,0.0085,0.0,0.0,0.0,0.0,0.0071,0.0054,0.0059
6.3,0.0073,0.0,0.0,0.0,0.0,0.0062,0.0049,0.005
6.4,0.0064,0.0,0.0,0.0,0.0,0.0054,0.0045,0.0044
6.5,0.0047,0.0,0.0,0.0,0.0,0.0041,0.0037,0.0032
6.6,0.0035,0.0,0.0,0.0,0.0,0.0033,0.0031,0.0025
6.7,0.0025,0.0,0.0,0.0,0.0,0.0024,0.0023,0.0017
6.8,0.0023,0.0,0.0,0.0,0.0,0.0023,0.0023,0.0016
6.9,0.002,0.0,0.0,0.0,0.0,0.002,0.002,0.0013
7.0,0.0017,0.0,0.0,0.0,0.0,0.0017,0.0017,0.0012
7.1,0.0014,0.0,0.0,0.0,0.0,0.0014,0.0014,0.0011
7.2,0.0011,0.0,0.0,0.0,0.0,0.0011,0.0011,9.0E-4
7.3,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,9.0E-4,7.0E-4
7.4,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,7.0E-4,5.0E-4
7.5,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4,3.0E-4
7.6,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4,3.0E-4
7.7,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4,3.0E-4
7.8,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,3.0E-4,1.0E-4
7.9,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,3.0E-4,1.0E-4
8.0,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,3.0E-4,1.0E-4
8.1,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4,1.0E-4
8.2,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
