Subsection Index,Subsection Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
0,"Airport Lake, Subsection 0",0.0014,0.0,0.0,0.0,1.0E-4,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Airport Lake, Subsection 1",0.0016,0.0,0.0,0.0,2.0E-4,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,"Airport Lake, Subsection 2",0.0017,0.0,0.0,0.0,1.0E-4,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"Airport Lake, Subsection 3",0.0018,0.0,0.0,0.0,2.0E-4,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"Airport Lake, Subsection 4",0.0017,0.0,0.0,0.0,2.0E-4,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"Airport Lake, Subsection 5",0.0014,0.0,0.0,0.0,2.0E-4,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Almanor 2011 CFM, Subsection 0",0.0066,0.0,0.0,0.0,0.001,0.0066,0.0011,0.0,0.0,0.0,2.0E-4,0.0011,8.0E-4
7,"Almanor 2011 CFM, Subsection 1",0.0069,0.0,0.0,0.0,0.001,0.0069,0.0012,0.0,0.0,0.0,2.0E-4,0.0012,9.0E-4
8,"Almanor 2011 CFM, Subsection 2",0.0069,0.0,0.0,0.0,0.001,0.0069,0.0012,0.0,0.0,0.0,2.0E-4,0.0012,9.0E-4
9,"Almanor 2011 CFM, Subsection 3",0.007,0.0,0.0,0.0,0.0011,0.007,0.0012,0.0,0.0,0.0,2.0E-4,0.0012,9.0E-4
10,"Almanor 2011 CFM, Subsection 4",0.007,0.0,0.0,0.0,0.0011,0.007,0.0012,0.0,0.0,0.0,2.0E-4,0.0012,9.0E-4
11,"Almanor 2011 CFM, Subsection 5",0.007,0.0,0.0,0.0,0.0011,0.007,0.0012,0.0,0.0,0.0,2.0E-4,0.0012,9.0E-4
12,"Almanor 2011 CFM, Subsection 6",0.0061,0.0,0.0,0.0,9.0E-4,0.0061,9.0E-4,0.0,0.0,0.0,1.0E-4,9.0E-4,8.0E-4
13,"Anacapa-Dume alt 1, Subsection 0",0.0013,0.0,0.0,0.0,1.0E-4,0.0013,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
14,"Anacapa-Dume alt 1, Subsection 1",0.0016,0.0,0.0,0.0,1.0E-4,0.0016,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
15,"Anacapa-Dume alt 1, Subsection 2",0.0016,0.0,0.0,0.0,1.0E-4,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,"Anacapa-Dume alt 1, Subsection 3",0.0015,0.0,0.0,0.0,1.0E-4,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"Anacapa-Dume alt 1, Subsection 4",0.0011,0.0,0.0,0.0,1.0E-4,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"Anaheim, Subsection 0",1.0E-4,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
19,"Anaheim, Subsection 1",3.0E-4,0.0,0.0,0.0,1.0E-4,3.0E-4,1.0E-4,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
20,"Anaheim, Subsection 2",3.0E-4,0.0,0.0,0.0,1.0E-4,3.0E-4,1.0E-4,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
21,"Antelope Valley 2011, Subsection 0",0.0033,0.0,0.0,0.0,4.0E-4,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,"Antelope Valley 2011, Subsection 1",0.0037,0.0,0.0,0.0,4.0E-4,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,"Antelope Valley 2011, Subsection 2",0.0039,0.0,0.0,0.0,4.0E-4,0.0039,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
24,"Antelope Valley 2011, Subsection 3",0.0031,0.0,0.0,0.0,3.0E-4,0.0031,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
