Parent ID,Parent Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
861,Airport Lake,0.0035,0.0,0.0,0.0,3.0E-4,0.0035,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
667,Almanor 2011 CFM,0.0249,0.0,0.0,1.0E-4,0.0035,0.0238,0.004,0.0,0.0,0.0,8.0E-4,0.0039,0.0025
219,Anacapa-Dume alt 1,0.0017,0.0,0.0,0.0,1.0E-4,0.0017,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
197,Anaheim,9.0E-4,0.0,0.0,0.0,1.0E-4,9.0E-4,2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,1.0E-4
722,Antelope Valley 2011,0.0088,0.0,0.0,0.0,7.0E-4,0.0088,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,3.0E-4
845,Ash Hill,0.0122,0.0,0.0,1.0E-4,0.0014,0.0114,0.002,0.0,0.0,0.0,1.0E-4,0.002,0.0013
881,Baker,0.0017,0.0,0.0,0.0,3.0E-4,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,Bartlett Springs 2011 CFM,0.0282,0.0,0.0,1.0E-4,0.0023,0.0277,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,3.0E-4
669,Battle Creek 2011 CFM,9.0E-4,0.0,0.0,1.0E-4,2.0E-4,9.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,Bear River fault zone,0.0103,0.0,1.0E-4,2.0E-4,8.0E-4,0.0102,0.0013,0.0,0.0,0.0,0.0,0.0013,8.0E-4
581,Bennett Valley 2011 CFM,0.0132,0.0,1.0E-4,1.0E-4,0.001,0.0129,7.0E-4,0.0,0.0,0.0,1.0E-4,7.0E-4,2.0E-4
158,Bicycle Lake,0.0137,0.0,0.0,1.0E-4,6.0E-4,0.0128,8.0E-4,0.0,0.0,0.0,1.0E-4,7.0E-4,2.0E-4
741,Big Lagoon - Bald Mtn 2011 CFM,0.0063,0.0,0.0,0.0,6.0E-4,0.0061,8.0E-4,0.0,0.0,0.0,2.0E-4,8.0E-4,4.0E-4
192,Big Pine (Central),0.006,0.0,0.0,0.0,7.0E-4,0.006,7.0E-4,0.0,0.0,0.0,2.0E-4,7.0E-4,1.0E-4
191,Big Pine (East),0.0058,0.0,0.0,0.0,3.0E-4,0.0058,0.0011,0.0,0.0,0.0,0.0,0.0011,4.0E-4
200,Big Pine (West),2.0E-4,0.0,0.0,1.0E-4,1.0E-4,2.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Blackwater,0.0112,1.0E-4,1.0E-4,1.0E-4,0.0011,0.0107,6.0E-4,0.0,0.0,0.0,0.0,6.0E-4,3.0E-4
169,Blue Cut,0.01,0.0,0.0,2.0E-4,0.0013,0.0099,0.0012,0.0,0.0,0.0,3.0E-4,0.0012,6.0E-4
