Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob
2.5,171.8682,84.0,417.0,115.0,111.0,1.0,0.0309
2.6,136.4528,65.0,334.0,92.0,86.0,1.0,0.0309
2.7,108.3916,50.0,265.0,73.0,67.0,1.0,0.0309
2.8,86.0327,38.0,210.0,58.0,53.0,1.0,0.0309
2.9,68.3199,29.0,168.0,46.0,42.0,1.0,0.0309
3.0,54.2298,22.0,135.0,37.0,34.0,1.0,0.0309
3.1,43.078,16.0,108.0,29.0,25.0,1.0,0.0309
3.2,34.2136,12.0,87.0,23.0,20.0,1.0,0.0309
3.3,27.1921,9.0,71.0,18.0,16.0,1.0,0.0309
3.4,21.595,6.0,56.0,15.0,13.0,1.0,0.0309
3.5,17.1611,4.0,44.0,12.0,9.0,1.0,0.0309
3.6,13.6305,3.0,36.0,9.0,7.0,0.9996,0.0309
3.7,10.8339,2.0,29.0,7.0,6.0,0.9977,0.0309
3.8,8.6136,1.0,23.0,6.0,4.0,0.9924,0.0309
3.9,6.8305,1.0,19.0,5.0,4.0,0.9797,0.0309
4.0,5.426,0.0,15.0,4.0,2.0,0.9561,0.0309
4.1,4.3168,0.0,13.0,3.0,2.0,0.9167,0.0309
4.2,3.4259,0.0,11.0,2.0,1.0,0.8706,0.0309
4.3,2.7319,0.0,9.0,2.0,1.0,0.8063,0.0309
4.4,2.1676,0.0,8.0,1.0,1.0,0.7291,0.0309
4.5,1.7289,0.0,7.0,1.0,0.0,0.6504,0.0309
4.6,1.3753,0.0,5.0,1.0,0.0,0.5766,0.0309
4.7,1.0925,0.0,5.0,1.0,0.0,0.5051,0.0309
4.8,0.8547,0.0,4.0,0.0,0.0,0.4255,0.0309
4.9,0.6787,0.0,3.0,0.0,0.0,0.3595,0.0309
5.0,0.5401,0.0,3.0,0.0,0.0,0.3014,0.0309
5.1,0.4344,0.0,3.0,0.0,0.0,0.2537,0.0309
5.2,0.3444,0.0,2.0,0.0,0.0,0.208,0.0309
5.3,0.2749,0.0,2.0,0.0,0.0,0.1726,0.0309
5.4,0.2195,0.0,2.0,0.0,0.0,0.1444,0.0309
5.5,0.1758,0.0,2.0,0.0,0.0,0.1189,0.0309
5.6,0.1375,0.0,1.0,0.0,0.0,0.0974,0.0309
5.7,0.1065,0.0,1.0,0.0,0.0,0.0787,0.0309
5.8,0.0847,0.0,1.0,0.0,0.0,0.0647,0.0309
5.9,0.0666,0.0,1.0,0.0,0.0,0.0521,0.0295
6.0,0.0535,0.0,1.0,0.0,0.0,0.0428,0.0282
6.1,0.0401,0.0,1.0,0.0,0.0,0.0331,0.0235
6.2,0.0331,0.0,1.0,0.0,0.0,0.0279,0.021
6.3,0.0269,0.0,0.0,0.0,0.0,0.023,0.0182
6.4,0.0229,0.0,0.0,0.0,0.0,0.02,0.0162
6.5,0.0175,0.0,0.0,0.0,0.0,0.0156,0.0132
6.6,0.0134,0.0,0.0,0.0,0.0,0.0122,0.0108
6.7,0.01,0.0,0.0,0.0,0.0,0.0094,0.0084
6.8,0.0084,0.0,0.0,0.0,0.0,0.0083,0.0076
6.9,0.0072,0.0,0.0,0.0,0.0,0.0071,0.0066
7.0,0.006,0.0,0.0,0.0,0.0,0.006,0.0057
7.1,0.005,0.0,0.0,0.0,0.0,0.005,0.0048
7.2,0.0035,0.0,0.0,0.0,0.0,0.0035,0.0034
7.3,0.003,0.0,0.0,0.0,0.0,0.003,0.0029
7.4,0.0024,0.0,0.0,0.0,0.0,0.0024,0.0024
7.5,0.0019,0.0,0.0,0.0,0.0,0.0019,0.0019
7.6,0.0012,0.0,0.0,0.0,0.0,0.0012,0.0012
7.7,0.0011,0.0,0.0,0.0,0.0,0.0011,0.0011
7.8,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,9.0E-4
7.9,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4
8.0,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4
8.1,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
8.2,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
