Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob
2.5,36.9748,14.0,77.0,25.0,23.0,1.0,0.0089
2.6,29.3871,10.0,62.0,20.0,18.0,1.0,0.0089
2.7,23.3609,7.0,50.0,16.0,15.0,1.0,0.0089
2.8,18.5415,5.0,40.0,13.0,11.0,1.0,0.0089
2.9,14.7192,4.0,33.0,10.0,9.0,0.9996,0.0089
3.0,11.6824,2.0,26.0,8.0,7.0,0.9987,0.0089
3.1,9.2859,2.0,22.0,6.0,6.0,0.9958,0.0089
3.2,7.3686,1.0,17.0,5.0,4.0,0.988,0.0089
3.3,5.8431,0.0,14.0,4.0,3.0,0.9677,0.0089
3.4,4.6477,0.0,12.0,3.0,2.0,0.9363,0.0089
3.5,3.6864,0.0,10.0,2.0,2.0,0.8876,0.0089
3.6,2.9342,0.0,8.0,2.0,1.0,0.8304,0.0089
3.7,2.3392,0.0,7.0,1.0,1.0,0.7599,0.0089
3.8,1.8478,0.0,6.0,1.0,0.0,0.6779,0.0089
3.9,1.4675,0.0,5.0,1.0,0.0,0.5964,0.0089
4.0,1.1724,0.0,4.0,1.0,0.0,0.5189,0.0089
4.1,0.9337,0.0,4.0,0.0,0.0,0.4449,0.0089
4.2,0.7453,0.0,3.0,0.0,0.0,0.382,0.0089
4.3,0.5932,0.0,3.0,0.0,0.0,0.3223,0.0089
4.4,0.4679,0.0,3.0,0.0,0.0,0.2645,0.0089
4.5,0.3737,0.0,2.0,0.0,0.0,0.2198,0.0089
4.6,0.3004,0.0,2.0,0.0,0.0,0.1825,0.0089
4.7,0.2383,0.0,2.0,0.0,0.0,0.151,0.0089
4.8,0.1903,0.0,2.0,0.0,0.0,0.1234,0.0089
4.9,0.1507,0.0,1.0,0.0,0.0,0.1007,0.0089
5.0,0.1213,0.0,1.0,0.0,0.0,0.0824,0.0089
5.1,0.0982,0.0,1.0,0.0,0.0,0.0684,0.0089
5.2,0.0806,0.0,1.0,0.0,0.0,0.057,0.0089
5.3,0.0661,0.0,1.0,0.0,0.0,0.0473,0.0089
5.4,0.0546,0.0,1.0,0.0,0.0,0.0394,0.0089
5.5,0.0433,0.0,1.0,0.0,0.0,0.0321,0.0089
5.6,0.0342,0.0,1.0,0.0,0.0,0.026,0.0089
5.7,0.0261,0.0,0.0,0.0,0.0,0.0204,0.0089
5.8,0.0206,0.0,0.0,0.0,0.0,0.0165,0.0089
5.9,0.0165,0.0,0.0,0.0,0.0,0.0133,0.0083
6.0,0.0137,0.0,0.0,0.0,0.0,0.0113,0.0079
6.1,0.0107,0.0,0.0,0.0,0.0,0.0093,0.0068
6.2,0.0093,0.0,0.0,0.0,0.0,0.0082,0.0061
6.3,0.0077,0.0,0.0,0.0,0.0,0.007,0.0054
6.4,0.0065,0.0,0.0,0.0,0.0,0.006,0.0051
6.5,0.0049,0.0,0.0,0.0,0.0,0.0045,0.0042
6.6,0.004,0.0,0.0,0.0,0.0,0.0038,0.0035
6.7,0.0029,0.0,0.0,0.0,0.0,0.0028,0.0027
6.8,0.0024,0.0,0.0,0.0,0.0,0.0024,0.0023
6.9,0.002,0.0,0.0,0.0,0.0,0.002,0.0019
7.0,0.0018,0.0,0.0,0.0,0.0,0.0018,0.0017
7.1,0.0013,0.0,0.0,0.0,0.0,0.0013,0.0012
7.2,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,9.0E-4
7.3,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,8.0E-4
7.4,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,7.0E-4
7.5,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4
7.6,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.7,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.8,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
