Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob
2.5,0.1352,0.0,1.0,0.0,0.0,0.1214,0.0
2.6,0.1089,0.0,1.0,0.0,0.0,0.0994,0.0
2.7,0.0862,0.0,1.0,0.0,0.0,0.0799,0.0
2.8,0.0665,0.0,1.0,0.0,0.0,0.0626,0.0
2.9,0.0513,0.0,1.0,0.0,0.0,0.048,0.0
3.0,0.0413,0.0,1.0,0.0,0.0,0.0388,0.0
3.1,0.0317,0.0,1.0,0.0,0.0,0.0299,0.0
3.2,0.0263,0.0,0.0,0.0,0.0,0.0248,0.0
3.3,0.0217,0.0,0.0,0.0,0.0,0.0206,0.0
3.4,0.0171,0.0,0.0,0.0,0.0,0.0163,0.0
3.5,0.0133,0.0,0.0,0.0,0.0,0.0126,0.0
3.6,0.0104,0.0,0.0,0.0,0.0,0.01,0.0
3.7,0.0079,0.0,0.0,0.0,0.0,0.0076,0.0
3.8,0.0062,0.0,0.0,0.0,0.0,0.0059,0.0
3.9,0.0045,0.0,0.0,0.0,0.0,0.0043,0.0
4.0,0.0038,0.0,0.0,0.0,0.0,0.0036,0.0
4.1,0.0028,0.0,0.0,0.0,0.0,0.0027,0.0
4.2,0.002,0.0,0.0,0.0,0.0,0.002,0.0
4.3,0.0017,0.0,0.0,0.0,0.0,0.0017,0.0
4.4,0.0013,0.0,0.0,0.0,0.0,0.0013,0.0
4.5,0.001,0.0,0.0,0.0,0.0,0.001,0.0
4.6,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,0.0
4.7,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,0.0
4.8,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,0.0
4.9,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,0.0
5.0,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0
5.1,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0
5.2,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
5.3,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
5.4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
5.5,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
