Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,100 yr Probability,100 yr Supra-Seis Prob
5.0,796.765,582.0,1215.0,759.0,762.0,1.0,1.0
5.1,631.161,463.0,961.0,603.0,590.0,1.0,1.0
5.2,499.21,364.0,752.0,477.0,456.0,1.0,1.0
5.3,393.86,288.0,602.0,377.0,375.0,1.0,1.0
5.4,310.566,225.0,469.0,298.0,258.0,1.0,1.0
5.5,244.623,177.0,364.0,235.0,235.0,1.0,1.0
5.6,191.85,137.0,285.0,185.0,185.0,1.0,1.0
5.7,149.888,107.0,219.0,145.0,131.0,1.0,1.0
5.8,116.634,82.0,170.0,114.0,107.0,1.0,1.0
5.9,89.394,63.0,128.0,87.0,87.0,1.0,1.0
6.0,70.824,48.0,101.0,69.0,75.0,1.0,1.0
6.1,54.941,37.0,79.0,54.0,51.0,1.0,1.0
6.2,43.39,29.0,62.0,43.0,40.0,1.0,1.0
6.3,34.089,22.0,50.0,33.0,35.0,1.0,1.0
6.4,26.558,16.0,40.0,26.0,29.0,1.0,1.0
6.5,20.594,12.0,32.0,20.0,20.0,1.0,1.0
6.6,16.087,8.0,25.0,16.0,15.0,1.0,1.0
6.7,12.433,6.0,20.0,12.0,11.0,1.0,1.0
6.8,9.667,4.0,16.0,9.0,9.0,1.0,1.0
6.9,7.459,3.0,13.0,7.0,7.0,1.0,1.0
7.0,5.788,2.0,11.0,6.0,5.0,1.0,1.0
7.1,4.4,1.0,9.0,4.0,4.0,0.995,0.991
7.2,3.312,1.0,7.0,3.0,3.0,0.98,0.973
7.3,2.54,0.0,6.0,2.0,2.0,0.95,0.948
7.4,1.919,0.0,5.0,2.0,2.0,0.892,0.888
7.5,1.305,0.0,4.0,1.0,1.0,0.784,0.779
7.6,0.983,0.0,3.0,1.0,1.0,0.704,0.704
7.7,0.697,0.0,2.0,1.0,1.0,0.588,0.588
7.8,0.509,0.0,2.0,0.0,0.0,0.475,0.475
7.9,0.314,0.0,1.0,0.0,0.0,0.307,0.307
8.0,0.169,0.0,1.0,0.0,0.0,0.167,0.167
8.1,0.066,0.0,1.0,0.0,0.0,0.066,0.066
8.2,0.027,0.0,1.0,0.0,0.0,0.027,0.027
8.3,0.002,0.0,0.0,0.0,0.0,0.002,0.002
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
