Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob
5.0,0.519,0.0,3.0,0.0,0.0,0.316,0.038
5.1,0.413,0.0,2.0,0.0,0.0,0.262,0.038
5.2,0.328,0.0,2.0,0.0,0.0,0.214,0.038
5.3,0.258,0.0,2.0,0.0,0.0,0.174,0.038
5.4,0.211,0.0,2.0,0.0,0.0,0.142,0.038
5.5,0.164,0.0,1.0,0.0,0.0,0.119,0.038
5.6,0.127,0.0,1.0,0.0,0.0,0.097,0.038
5.7,0.103,0.0,1.0,0.0,0.0,0.086,0.038
5.8,0.088,0.0,1.0,0.0,0.0,0.079,0.038
5.9,0.068,0.0,1.0,0.0,0.0,0.063,0.036
6.0,0.057,0.0,1.0,0.0,0.0,0.054,0.036
6.1,0.049,0.0,1.0,0.0,0.0,0.048,0.033
6.2,0.041,0.0,1.0,0.0,0.0,0.04,0.03
6.3,0.038,0.0,1.0,0.0,0.0,0.037,0.029
6.4,0.032,0.0,1.0,0.0,0.0,0.031,0.025
6.5,0.018,0.0,0.0,0.0,0.0,0.017,0.014
6.6,0.016,0.0,0.0,0.0,0.0,0.015,0.013
6.7,0.013,0.0,0.0,0.0,0.0,0.012,0.011
6.8,0.012,0.0,0.0,0.0,0.0,0.011,0.011
6.9,0.01,0.0,0.0,0.0,0.0,0.01,0.01
7.0,0.009,0.0,0.0,0.0,0.0,0.009,0.009
7.1,0.006,0.0,0.0,0.0,0.0,0.006,0.006
7.2,0.004,0.0,0.0,0.0,0.0,0.004,0.004
7.3,0.003,0.0,0.0,0.0,0.0,0.003,0.003
7.4,0.002,0.0,0.0,0.0,0.0,0.002,0.002
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
