Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,500 yr Probability,500 yr Supra-Seis Prob,Primary Aftershocks Mean
5.0,0.345844,0.148,1.014,0.266,0.236,8.608642,1.0,0.994,0.09196
5.1,0.273328,0.118,0.8,0.212,0.214,6.830068,1.0,0.994,0.073172
5.2,0.215854,0.09,0.642,0.17,0.14,5.4173,1.0,0.994,0.058612
5.3,0.17006,0.07,0.498,0.134,0.102,4.2950974,1.0,0.994,0.046368
5.4,0.133388,0.052,0.386,0.106,0.094,3.4037008,1.0,0.994,0.036868
5.5,0.104864,0.04,0.3,0.082,0.07,2.6956394,1.0,0.994,0.029684
5.6,0.08199,0.03,0.232,0.066,0.058,2.1332066,1.0,0.994,0.02382
5.7,0.063678,0.022,0.18,0.052,0.048,1.6863642,1.0,0.994,0.019192
5.8,0.049358,0.016,0.134,0.04,0.042,1.3311276,1.0,0.994,0.015496
5.9,0.03695,0.01,0.1,0.03,0.024,1.0356472,1.0,0.993,0.012066
6.0,0.028828,0.008,0.076,0.024,0.02,0.83624506,1.0,0.993,0.00983
6.1,0.021622,0.006,0.056,0.018,0.014,0.66032434,1.0,0.988,0.007626
6.2,0.017262,0.004,0.046,0.014,0.012,0.5290011,0.998,0.98,0.006332
6.3,0.013826,0.002,0.038,0.012,0.008,0.42016467,0.992,0.966,0.00518
6.4,0.010788,0.0,0.03,0.01,0.008,0.33243415,0.975,0.944,0.00413
6.5,0.008266,0.0,0.022,0.008,0.006,0.2601263,0.949,0.908,0.003212
6.6,0.00651,0.0,0.018,0.006,0.004,0.20548344,0.912,0.874,0.00255
6.7,0.005008,0.0,0.016,0.004,0.004,0.16021843,0.85,0.814,0.002036
6.8,0.004078,0.0,0.012,0.004,0.002,0.12689023,0.802,0.768,0.001692
6.9,0.003312,0.0,0.012,0.002,0.002,0.09975841,0.736,0.705,0.001388
7.0,0.00275,0.0,0.01,0.002,0.0,0.077940285,0.679,0.65,0.001178
7.1,0.002124,0.0,0.008,0.002,0.0,0.05961322,0.6,0.58,9.18E-4
7.2,0.001686,0.0,0.006,0.002,0.0,0.045241926,0.526,0.511,7.34E-4
7.3,0.001368,0.0,0.006,0.0,0.0,0.035294022,0.457,0.453,5.76E-4
7.4,0.001076,0.0,0.006,0.0,0.0,0.026938815,0.385,0.383,4.48E-4
7.5,8.0E-4,0.0,0.004,0.0,0.0,0.019023713,0.304,0.304,3.44E-4
7.6,6.48E-4,0.0,0.004,0.0,0.0,0.013821237,0.258,0.258,2.86E-4
7.7,4.66E-4,0.0,0.004,0.0,0.0,0.009578903,0.199,0.199,1.96E-4
7.8,3.3E-4,0.0,0.002,0.0,0.0,0.006191872,0.141,0.141,1.42E-4
7.9,2.02E-4,0.0,0.002,0.0,0.0,0.0035149523,0.092,0.092,9.2E-5
8.0,8.6E-5,0.0,0.002,0.0,0.0,0.0020316083,0.043,0.043,4.6E-5
8.1,2.8E-5,0.0,0.0,0.0,0.0,0.0010248122,0.014,0.014,1.4E-5
8.2,1.6E-5,0.0,0.0,0.0,0.0,4.4834707E-4,0.008,0.008,1.0E-5
8.3,0.0,0.0,0.0,0.0,0.0,1.0199686E-4,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
