Subsection Index,Subsection Name,Total Mean Annual Rate,Total 500 Year Prob,Triggered Mean Annual Rate,Triggered 500 Year Prob,Triggered Primary Mean Annual Rate,Long-Term Fault System Solution Rate
26,"Antelope Valley 2011, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0
27,"Ash Hill, Subsection 0",0.0,0.0,0.0,0.0,0.0,0.0
28,"Ash Hill, Subsection 1",0.0,0.0,0.0,0.0,0.0,0.0
29,"Ash Hill, Subsection 2",0.0,0.0,0.0,0.0,0.0,0.0
30,"Ash Hill, Subsection 3",0.0,0.0,0.0,0.0,0.0,0.0
31,"Ash Hill, Subsection 4",0.0,0.0,0.0,0.0,0.0,0.0
32,"Ash Hill, Subsection 5",0.0,0.0,0.0,0.0,0.0,0.0
33,"Ash Hill, Subsection 6",0.0,0.0,0.0,0.0,0.0,0.0
34,"Ash Hill, Subsection 7",0.0,0.0,0.0,0.0,0.0,0.0
35,"Baker, Subsection 0",4.0E-6,0.002,0.0,0.0,0.0,9.6063795E-6
36,"Baker, Subsection 1",1.0E-5,0.005,0.0,0.0,0.0,1.3856744E-5
37,"Baker, Subsection 2",1.2E-5,0.006,0.0,0.0,0.0,1.7545637E-5
38,"Baker, Subsection 3",1.2E-5,0.006,0.0,0.0,0.0,2.1064818E-5
39,"Baker, Subsection 4",1.4E-5,0.007,0.0,0.0,0.0,2.3368748E-5
40,"Baker, Subsection 5",1.6E-5,0.008,0.0,0.0,0.0,2.5599209E-5
41,"Baker, Subsection 6",1.6E-5,0.008,0.0,0.0,0.0,2.7556487E-5
42,"Baker, Subsection 7",1.6E-5,0.008,0.0,0.0,0.0,2.989036E-5
43,"Baker, Subsection 8",1.6E-5,0.008,0.0,0.0,0.0,3.1711174E-5
44,"Baker, Subsection 9",1.8E-5,0.009,0.0,0.0,0.0,3.3724857E-5
45,"Baker, Subsection 10",2.0E-5,0.01,0.0,0.0,0.0,3.6727135E-5
46,"Baker, Subsection 11",2.0E-5,0.01,0.0,0.0,0.0,3.9410592E-5
47,"Baker, Subsection 12",2.2E-5,0.011,0.0,0.0,0.0,4.3268505E-5
48,"Baker, Subsection 13",2.2E-5,0.011,0.0,0.0,0.0,4.3268505E-5
49,"Bartlett Springs 2011 CFM, Subsection 0",4.28E-4,0.211,2.0E-6,0.001,0.0,9.108605E-4
50,"Bartlett Springs 2011 CFM, Subsection 1",4.28E-4,0.211,2.0E-6,0.001,0.0,9.1893325E-4
51,"Bartlett Springs 2011 CFM, Subsection 2",4.28E-4,0.211,2.0E-6,0.001,0.0,9.2550914E-4
52,"Bartlett Springs 2011 CFM, Subsection 3",4.34E-4,0.214,2.0E-6,0.001,0.0,9.3131117E-4
53,"Bartlett Springs 2011 CFM, Subsection 4",4.36E-4,0.215,2.0E-6,0.001,0.0,9.353173E-4
54,"Bartlett Springs 2011 CFM, Subsection 5",4.36E-4,0.215,2.0E-6,0.001,0.0,9.373302E-4
55,"Bartlett Springs 2011 CFM, Subsection 6",4.34E-4,0.214,2.0E-6,0.001,0.0,9.394138E-4
56,"Bartlett Springs 2011 CFM, Subsection 7",4.32E-4,0.214,2.0E-6,0.001,0.0,9.423782E-4
57,"Bartlett Springs 2011 CFM, Subsection 8",4.24E-4,0.21,2.0E-6,0.001,0.0,9.44271E-4
