Subsection Index,Subsection Name,Total 500 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 500 Year Prob,Triggered 500 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 500 Year Prob,Triggered 500 Year Primary Mean Count
0,"Airport Lake, Subsection 0",0.067,0.0,0.0,0.0,0.0,0.067,0.002,0.0,0.0,0.0,0.0,0.002,0.001
1,"Airport Lake, Subsection 1",0.074,0.0,0.0,0.0,0.0,0.074,0.002,0.0,0.0,0.0,0.0,0.002,0.001
2,"Airport Lake, Subsection 2",0.071,0.0,0.0,0.0,0.0,0.071,0.002,0.0,0.0,0.0,0.0,0.002,0.001
3,"Airport Lake, Subsection 3",0.078,0.0,0.0,0.0,0.0,0.077,0.002,0.0,0.0,0.0,0.0,0.002,0.001
4,"Airport Lake, Subsection 4",0.096,0.0,0.0,0.001,0.001,0.096,0.001,0.0,0.0,0.0,0.0,0.001,0.001
5,"Airport Lake, Subsection 5",0.087,0.0,0.0,0.001,0.001,0.087,0.001,0.0,0.0,0.0,0.0,0.001,0.001
6,"Almanor 2011 CFM, Subsection 0",0.586,0.0,0.0,0.0,0.001,0.497,0.003,0.0,0.0,0.0,0.0,0.003,0.0
7,"Almanor 2011 CFM, Subsection 1",0.606,0.0,0.0,0.0,0.001,0.506,0.003,0.0,0.0,0.0,0.0,0.003,0.0
8,"Almanor 2011 CFM, Subsection 2",0.531,0.0,0.0,0.0,0.001,0.455,0.003,0.0,0.0,0.0,0.0,0.003,0.0
9,"Almanor 2011 CFM, Subsection 3",0.486,0.0,0.0,0.0,0.001,0.421,0.002,0.0,0.0,0.0,0.0,0.002,0.0
10,"Almanor 2011 CFM, Subsection 4",0.512,0.0,0.0,0.0,0.001,0.435,0.003,0.0,0.0,0.0,0.0,0.002,0.0
11,"Almanor 2011 CFM, Subsection 5",0.589,0.0,0.0,0.0,0.001,0.49,0.004,0.0,0.0,0.0,0.0,0.003,0.001
12,"Almanor 2011 CFM, Subsection 6",0.544,0.0,0.0,0.0,0.001,0.461,0.003,0.0,0.0,0.0,0.0,0.002,0.001
13,"Anacapa-Dume alt 1, Subsection 0",0.05,0.0,0.0,0.0,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"Anacapa-Dume alt 1, Subsection 1",0.059,0.0,0.0,0.0,0.001,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"Anacapa-Dume alt 1, Subsection 2",0.056,0.0,0.0,0.0,0.001,0.056,0.001,0.0,0.0,0.0,0.0,0.001,0.0
16,"Anacapa-Dume alt 1, Subsection 3",0.06,0.0,0.0,0.0,0.001,0.057,0.001,0.0,0.0,0.0,0.0,0.001,0.0
17,"Anacapa-Dume alt 1, Subsection 4",0.042,0.0,0.0,0.0,0.001,0.04,0.001,0.0,0.0,0.0,0.0,0.001,0.0
18,"Anaheim, Subsection 0",0.038,0.0,0.0,0.0,0.0,0.038,0.001,0.0,0.0,0.0,0.0,0.001,0.001
19,"Anaheim, Subsection 1",0.042,0.0,0.0,0.0,0.0,0.042,0.003,0.0,0.0,0.0,0.0,0.003,0.002
20,"Anaheim, Subsection 2",0.02,0.0,0.0,0.0,0.0,0.02,0.003,0.0,0.0,0.0,0.0,0.003,0.002
21,"Antelope Valley 2011, Subsection 0",0.249,0.0,0.0,0.0,0.0,0.244,0.004,0.0,0.0,0.0,0.0,0.004,0.002
22,"Antelope Valley 2011, Subsection 1",0.265,0.0,0.0,0.0,0.0,0.258,0.004,0.0,0.0,0.0,0.0,0.004,0.002
23,"Antelope Valley 2011, Subsection 2",0.199,0.0,0.0,0.0,0.0,0.195,0.003,0.0,0.0,0.0,0.0,0.003,0.001
24,"Antelope Valley 2011, Subsection 3",0.182,0.0,0.0,0.001,0.001,0.18,0.002,0.0,0.0,0.0,0.0,0.002,0.0
25,"Antelope Valley 2011, Subsection 4",0.238,0.0,0.0,0.001,0.001,0.231,0.002,0.0,0.0,0.0,0.0,0.002,0.001
26,"Antelope Valley 2011, Subsection 5",0.219,0.0,0.0,0.001,0.001,0.214,0.002,0.0,0.0,0.0,0.0,0.002,0.001
27,"Ash Hill, Subsection 0",0.211,0.0,0.0,0.0,0.0,0.21,0.002,0.0,0.0,0.0,0.0,0.002,0.001
28,"Ash Hill, Subsection 1",0.225,0.0,0.0,0.0,0.0,0.22,0.002,0.0,0.0,0.0,0.0,0.002,0.001
29,"Ash Hill, Subsection 2",0.164,0.0,0.0,0.0,0.0,0.161,0.002,0.0,0.0,0.0,0.0,0.002,0.001
30,"Ash Hill, Subsection 3",0.148,0.0,0.0,0.0,0.0,0.147,0.002,0.0,0.0,0.0,0.0,0.002,0.001
31,"Ash Hill, Subsection 4",0.143,0.0,0.0,0.0,0.0,0.14,0.001,0.0,0.0,0.0,0.0,0.001,0.001
32,"Ash Hill, Subsection 5",0.148,0.0,0.0,0.0,0.0,0.145,0.002,0.0,0.0,0.0,0.0,0.002,0.001
33,"Ash Hill, Subsection 6",0.224,0.0,0.0,0.0,0.0,0.212,0.006,0.0,0.0,0.0,0.0,0.006,0.002
34,"Ash Hill, Subsection 7",0.213,0.0,0.0,0.0,0.0,0.202,0.006,0.0,0.0,0.0,0.0,0.006,0.002
35,"Baker, Subsection 0",0.051,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"Baker, Subsection 1",0.057,0.0,0.0,0.0,0.001,0.056,0.001,0.0,0.0,0.0,0.001,0.001,0.001
37,"Baker, Subsection 2",0.044,0.0,0.0,0.0,0.001,0.044,0.001,0.0,0.0,0.0,0.001,0.001,0.001
