Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,500 yr Probability,500 yr Supra-Seis Prob
5.0,7.797442,6.59,9.608,7.676,7.178,8.608642,1.0,1.0
5.1,6.166404,5.21,7.658,6.068,6.196,6.830068,1.0,1.0
5.2,4.868692,4.126,6.014,4.8,4.544,5.4173,1.0,1.0
5.3,3.838284,3.234,4.732,3.79,3.67,4.2950974,1.0,1.0
5.4,3.02011,2.552,3.722,2.98,2.866,3.4037008,1.0,1.0
5.5,2.37177,2.004,2.894,2.342,2.188,2.6956394,1.0,1.0
5.6,1.854262,1.55,2.25,1.836,1.838,2.1332066,1.0,1.0
5.7,1.44418,1.228,1.756,1.428,1.45,1.6863642,1.0,1.0
5.8,1.118628,0.958,1.354,1.108,1.082,1.3311276,1.0,1.0
5.9,0.85167,0.724,1.032,0.844,0.85,1.0356472,1.0,1.0
6.0,0.67192,0.57,0.802,0.666,0.666,0.83624506,1.0,1.0
6.1,0.517212,0.434,0.618,0.512,0.494,0.66032434,1.0,1.0
6.2,0.407062,0.34,0.486,0.404,0.394,0.5290011,1.0,1.0
6.3,0.32038,0.268,0.384,0.318,0.332,0.42016467,1.0,1.0
6.4,0.250924,0.206,0.3,0.25,0.25,0.33243415,1.0,1.0
6.5,0.194422,0.154,0.232,0.194,0.19,0.2601263,1.0,1.0
6.6,0.151598,0.118,0.186,0.152,0.156,0.20548344,1.0,1.0
6.7,0.117686,0.09,0.146,0.118,0.122,0.16021843,1.0,1.0
6.8,0.093048,0.07,0.118,0.092,0.086,0.12689023,1.0,1.0
6.9,0.072694,0.054,0.094,0.072,0.074,0.09975841,1.0,1.0
7.0,0.056892,0.04,0.074,0.056,0.054,0.077940285,1.0,1.0
7.1,0.043504,0.03,0.058,0.044,0.042,0.05961322,1.0,1.0
7.2,0.032932,0.022,0.046,0.032,0.032,0.045241926,1.0,1.0
7.3,0.026024,0.016,0.038,0.026,0.024,0.035294022,1.0,1.0
7.4,0.020104,0.012,0.03,0.02,0.02,0.026938815,1.0,1.0
7.5,0.014406,0.008,0.022,0.014,0.014,0.019023713,1.0,1.0
7.6,0.010912,0.004,0.018,0.01,0.01,0.013821237,1.0,1.0
7.7,0.007846,0.004,0.014,0.008,0.008,0.009578903,1.0,1.0
7.8,0.005454,0.002,0.01,0.006,0.006,0.006191872,0.992,0.992
7.9,0.003098,0.0,0.006,0.004,0.002,0.0035149523,0.894,0.894
8.0,0.001598,0.0,0.004,0.002,0.002,0.0020316083,0.61,0.61
8.1,7.36E-4,0.0,0.004,0.0,0.0,0.0010248122,0.333,0.333
8.2,3.38E-4,0.0,0.002,0.0,0.0,4.4834707E-4,0.162,0.162
8.3,6.6E-5,0.0,0.002,0.0,0.0,1.0199686E-4,0.033,0.033
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
