Subsection Index,Subsection Name,Total Mean Annual Rate,Total 500 Year Prob,Long-Term Fault System Solution Rate
55,"Bartlett Springs 2011 CFM, Subsection 6",5.18E-4,0.252,0.0013568668
56,"Bartlett Springs 2011 CFM, Subsection 7",5.16E-4,0.251,0.0013446464
57,"Bartlett Springs 2011 CFM, Subsection 8",5.12E-4,0.249,0.0013277528
58,"Bartlett Springs 2011 CFM, Subsection 9",4.98E-4,0.241,0.0012870126
59,"Bartlett Springs 2011 CFM, Subsection 10",4.12E-4,0.203,0.0010716505
60,"Bartlett Springs 2011 CFM, Subsection 11",4.2E-4,0.206,0.0010850882
61,"Bartlett Springs 2011 CFM, Subsection 12",5.52E-4,0.265,0.0013511288
62,"Bartlett Springs 2011 CFM, Subsection 13",5.76E-4,0.277,0.0014017468
63,"Bartlett Springs 2011 CFM, Subsection 14",5.9E-4,0.283,0.0014374859
64,"Bartlett Springs 2011 CFM, Subsection 15",6.16E-4,0.294,0.0014710575
65,"Bartlett Springs 2011 CFM, Subsection 16",6.52E-4,0.311,0.0015189039
66,"Bartlett Springs 2011 CFM, Subsection 17",6.56E-4,0.311,0.0015343343
67,"Bartlett Springs 2011 CFM, Subsection 18",7.18E-4,0.335,0.0015849362
68,"Bartlett Springs 2011 CFM, Subsection 19",7.92E-4,0.358,0.00164829
69,"Bartlett Springs 2011 CFM, Subsection 20",8.5E-4,0.386,0.0016720317
70,"Bartlett Springs 2011 CFM, Subsection 21",8.26E-4,0.38,0.0016011646
71,"Bartlett Springs 2011 CFM, Subsection 22",7.66E-4,0.356,0.0014779733
72,"Battle Creek 2011 CFM, Subsection 0",7.0E-5,0.035,1.6618324E-4
73,"Battle Creek 2011 CFM, Subsection 1",7.6E-5,0.038,1.9578171E-4
74,"Battle Creek 2011 CFM, Subsection 2",6.2E-5,0.031,1.709035E-4
75,"Battle Creek 2011 CFM, Subsection 3",6.2E-5,0.031,1.7296284E-4
76,"Battle Creek 2011 CFM, Subsection 4",6.6E-5,0.033,1.8240098E-4
77,"Battle Creek 2011 CFM, Subsection 5",8.2E-5,0.041,2.1927248E-4
78,"Battle Creek 2011 CFM, Subsection 6",7.4E-5,0.037,1.92047E-4
79,"Bear River fault zone, Subsection 0",2.24E-4,0.107,4.2543086E-4
80,"Bear River fault zone, Subsection 1",2.34E-4,0.112,4.6907488E-4
81,"Bear River fault zone, Subsection 2",2.24E-4,0.108,4.804996E-4
82,"Bear River fault zone, Subsection 3",2.22E-4,0.107,4.977362E-4
83,"Bear River fault zone, Subsection 4",2.3E-4,0.112,5.149801E-4
84,"Bear River fault zone, Subsection 5",2.26E-4,0.112,5.396912E-4
85,"Bear River fault zone, Subsection 6",2.26E-4,0.112,5.476805E-4
86,"Bear River fault zone, Subsection 7",2.1E-4,0.104,5.2657153E-4
87,"Bear River fault zone, Subsection 8",1.94E-4,0.097,4.992574E-4
88,"Bear River fault zone, Subsection 9",1.8E-4,0.09,4.6403205E-4
89,"Bear River fault zone, Subsection 10",1.62E-4,0.081,4.158342E-4
90,"Bennett Valley 2011 CFM, Subsection 0",4.1E-4,0.198,6.0357334E-4
91,"Bennett Valley 2011 CFM, Subsection 1",4.42E-4,0.213,6.5101706E-4
