Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,100 yr Probability,100 yr Supra-Seis Prob
5.0,7.427,6.1,9.16,7.36,7.28,8.608642,1.0,1.0
5.1,5.87159,4.77,7.22,5.82,5.7,6.830068,1.0,1.0
5.2,4.64585,3.76,5.73,4.6,4.26,5.4173,1.0,1.0
5.3,3.66599,2.94,4.56,3.64,3.43,4.2950974,1.0,1.0
5.4,2.8896,2.28,3.61,2.86,2.71,3.4037008,1.0,1.0
5.5,2.27775,1.76,2.86,2.26,2.27,2.6956394,1.0,1.0
5.6,1.78888,1.37,2.29,1.77,1.87,2.1332066,1.0,1.0
5.7,1.39937,1.05,1.8,1.39,1.32,1.6863642,1.0,1.0
5.8,1.09013,0.81,1.42,1.08,1.0,1.3311276,1.0,1.0
5.9,0.8334,0.6,1.1,0.82,0.76,1.0356472,1.0,1.0
6.0,0.66116,0.46,0.89,0.65,0.59,0.83624506,1.0,1.0
6.1,0.50852,0.34,0.7,0.5,0.5,0.66032434,1.0,1.0
6.2,0.39671,0.26,0.55,0.39,0.4,0.5290011,1.0,1.0
6.3,0.31117,0.2,0.45,0.31,0.31,0.42016467,1.0,1.0
6.4,0.23795,0.14,0.35,0.23,0.21,0.33243415,1.0,1.0
6.5,0.18082,0.09,0.28,0.18,0.15,0.2601263,1.0,1.0
6.6,0.13786,0.06,0.22,0.14,0.15,0.20548344,1.0,1.0
6.7,0.10281,0.04,0.17,0.1,0.1,0.16021843,1.0,1.0
6.8,0.07806,0.03,0.14,0.08,0.08,0.12689023,1.0,0.998
6.9,0.05813,0.02,0.11,0.06,0.06,0.09975841,0.998,0.997
7.0,0.04356,0.01,0.09,0.04,0.04,0.077940285,0.994,0.987
7.1,0.0319,0.0,0.07,0.03,0.02,0.05961322,0.966,0.952
7.2,0.02239,0.0,0.05,0.02,0.02,0.045241926,0.904,0.884
7.3,0.01657,0.0,0.05,0.01,0.01,0.035294022,0.823,0.811
7.4,0.01144,0.0,0.04,0.01,0.01,0.026938815,0.691,0.68
7.5,0.00702,0.0,0.03,0.01,0.0,0.019023713,0.51,0.506
7.6,0.00407,0.0,0.02,0.0,0.0,0.013821237,0.343,0.34
7.7,0.00217,0.0,0.01,0.0,0.0,0.009578903,0.201,0.199
7.8,0.00106,0.0,0.01,0.0,0.0,0.006191872,0.105,0.104
7.9,4.8E-4,0.0,0.01,0.0,0.0,0.0035149523,0.048,0.048
8.0,2.6E-4,0.0,0.01,0.0,0.0,0.0020316083,0.026,0.026
8.1,8.0E-5,0.0,0.0,0.0,0.0,0.0010248122,0.008,0.008
8.2,1.0E-5,0.0,0.0,0.0,0.0,4.4834707E-4,0.001,0.001
8.3,0.0,0.0,0.0,0.0,0.0,1.0199686E-4,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
