Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,130.20428,98.0,158.0,122.0,123.0,1.0,0.00376,113.91912
2.6,103.42388,76.0,127.0,97.0,94.0,1.0,0.00376,90.48404
2.7,82.127,59.0,103.0,77.0,75.0,1.0,0.00376,71.86088
2.8,65.24656,45.0,83.0,61.0,61.0,1.0,0.00376,57.09116
2.9,51.8162,35.0,68.0,49.0,47.0,1.0,0.00376,45.34404
3.0,41.17564,26.0,55.0,39.0,38.0,1.0,0.00376,36.02356
3.1,32.72456,20.0,45.0,31.0,30.0,1.0,0.00376,28.62504
3.2,25.99744,15.0,37.0,24.0,24.0,1.0,0.00376,22.73628
3.3,20.63528,11.0,31.0,19.0,19.0,1.0,0.00376,18.0458
3.4,16.37224,8.0,25.0,15.0,15.0,1.0,0.00376,14.31184
3.5,12.98476,6.0,21.0,12.0,12.0,1.0,0.00376,11.35332
3.6,10.3108,4.0,17.0,10.0,9.0,0.99996,0.00376,9.01468
3.7,8.1856,3.0,14.0,8.0,7.0,0.99928,0.00376,7.16004
3.8,6.48956,2.0,12.0,6.0,5.0,0.9976,0.00376,5.67624
3.9,5.15028,1.0,10.0,5.0,4.0,0.99024,0.00376,4.50344
4.0,4.0882,0.0,9.0,4.0,3.0,0.97396,0.00376,3.57264
4.1,3.24112,0.0,7.0,3.0,2.0,0.94532,0.00376,2.8322
4.2,2.56492,0.0,6.0,2.0,2.0,0.9004,0.00376,2.24192
4.3,2.02796,0.0,5.0,2.0,1.0,0.84144,0.00376,1.7722
4.4,1.612,0.0,5.0,1.0,1.0,0.76848,0.00376,1.4094
4.5,1.28272,0.0,4.0,1.0,1.0,0.6888,0.00376,1.12176
4.6,1.01868,0.0,3.0,1.0,0.0,0.60644,0.00376,0.8904
4.7,0.80296,0.0,3.0,1.0,0.0,0.52336,0.00376,0.70204
4.8,0.63148,0.0,3.0,0.0,0.0,0.441,0.00376,0.55308
4.9,0.4992,0.0,2.0,0.0,0.0,0.37088,0.00376,0.43692
5.0,0.3914,0.0,2.0,0.0,0.0,0.30364,0.00376,0.34144
5.1,0.3064,0.0,2.0,0.0,0.0,0.2478,0.00376,0.26868
5.2,0.23876,0.0,2.0,0.0,0.0,0.19992,0.00376,0.21
5.3,0.18496,0.0,1.0,0.0,0.0,0.15844,0.00376,0.16308
5.4,0.14264,0.0,1.0,0.0,0.0,0.12432,0.00376,0.1256
5.5,0.10784,0.0,1.0,0.0,0.0,0.09544,0.00376,0.0952
5.6,0.07964,0.0,1.0,0.0,0.0,0.07184,0.00376,0.07064
5.7,0.05928,0.0,1.0,0.0,0.0,0.05396,0.00376,0.05256
5.8,0.04212,0.0,1.0,0.0,0.0,0.03892,0.00376,0.03708
5.9,0.02968,0.0,1.0,0.0,0.0,0.0276,0.00376,0.02608
6.0,0.0198,0.0,0.0,0.0,0.0,0.01868,0.00376,0.01748
6.1,0.01212,0.0,0.0,0.0,0.0,0.01148,0.00372,0.01056
6.2,0.0076,0.0,0.0,0.0,0.0,0.00724,0.00372,0.00656
6.3,0.00528,0.0,0.0,0.0,0.0,0.00496,0.00364,0.00448
6.4,0.00416,0.0,0.0,0.0,0.0,0.00392,0.00344,0.00352
6.5,0.00372,0.0,0.0,0.0,0.0,0.00348,0.00316,0.00312
6.6,0.0036,0.0,0.0,0.0,0.0,0.00344,0.00312,0.00312
6.7,0.00332,0.0,0.0,0.0,0.0,0.0032,0.003,0.00296
6.8,0.00312,0.0,0.0,0.0,0.0,0.00308,0.003,0.00284
6.9,0.00304,0.0,0.0,0.0,0.0,0.003,0.00296,0.0028
7.0,0.00304,0.0,0.0,0.0,0.0,0.003,0.00296,0.0028
7.1,0.003,0.0,0.0,0.0,0.0,0.00296,0.00292,0.00276
7.2,0.00296,0.0,0.0,0.0,0.0,0.00292,0.00288,0.00272
7.3,0.00272,0.0,0.0,0.0,0.0,0.00272,0.00272,0.00256
7.4,0.00268,0.0,0.0,0.0,0.0,0.00268,0.00268,0.00256
7.5,0.00264,0.0,0.0,0.0,0.0,0.00264,0.00264,0.00252
7.6,0.00252,0.0,0.0,0.0,0.0,0.00252,0.00252,0.0024
7.7,0.00212,0.0,0.0,0.0,0.0,0.00212,0.00212,0.002
7.8,0.0018,0.0,0.0,0.0,0.0,0.0018,0.0018,0.00172
7.9,0.00104,0.0,0.0,0.0,0.0,0.00104,0.00104,0.00104
8.0,6.0E-4,0.0,0.0,0.0,0.0,6.0E-4,6.0E-4,6.0E-4
8.1,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,8.0E-5,8.0E-5
8.2,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,4.0E-5
8.3,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,4.0E-5
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
