Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob
2.5,0.2291,0.0,2.0,0.0,0.0,0.1879,0.0
2.6,0.1817,0.0,1.0,0.0,0.0,0.1526,0.0
2.7,0.144,0.0,1.0,0.0,0.0,0.1233,0.0
2.8,0.1133,0.0,1.0,0.0,0.0,0.0987,0.0
2.9,0.0895,0.0,1.0,0.0,0.0,0.0788,0.0
3.0,0.0711,0.0,1.0,0.0,0.0,0.0634,0.0
3.1,0.0576,0.0,1.0,0.0,0.0,0.0517,0.0
3.2,0.0465,0.0,1.0,0.0,0.0,0.0421,0.0
3.3,0.0354,0.0,1.0,0.0,0.0,0.0316,0.0
3.4,0.028,0.0,1.0,0.0,0.0,0.0252,0.0
3.5,0.0219,0.0,0.0,0.0,0.0,0.0199,0.0
3.6,0.0172,0.0,0.0,0.0,0.0,0.0158,0.0
3.7,0.0133,0.0,0.0,0.0,0.0,0.0122,0.0
3.8,0.0109,0.0,0.0,0.0,0.0,0.01,0.0
3.9,0.0091,0.0,0.0,0.0,0.0,0.0083,0.0
4.0,0.007,0.0,0.0,0.0,0.0,0.0064,0.0
4.1,0.0053,0.0,0.0,0.0,0.0,0.0048,0.0
4.2,0.004,0.0,0.0,0.0,0.0,0.0037,0.0
4.3,0.0031,0.0,0.0,0.0,0.0,0.003,0.0
4.4,0.0024,0.0,0.0,0.0,0.0,0.0023,0.0
4.5,0.002,0.0,0.0,0.0,0.0,0.0019,0.0
4.6,0.0016,0.0,0.0,0.0,0.0,0.0015,0.0
4.7,0.0014,0.0,0.0,0.0,0.0,0.0013,0.0
4.8,0.0012,0.0,0.0,0.0,0.0,0.0011,0.0
4.9,9.0E-4,0.0,0.0,0.0,0.0,8.0E-4,0.0
5.0,7.0E-4,0.0,0.0,0.0,0.0,6.0E-4,0.0
5.1,6.0E-4,0.0,0.0,0.0,0.0,5.0E-4,0.0
5.2,6.0E-4,0.0,0.0,0.0,0.0,5.0E-4,0.0
5.3,5.0E-4,0.0,0.0,0.0,0.0,4.0E-4,0.0
5.4,4.0E-4,0.0,0.0,0.0,0.0,3.0E-4,0.0
5.5,4.0E-4,0.0,0.0,0.0,0.0,3.0E-4,0.0
5.6,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,0.0
5.7,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
5.8,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
5.9,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
6.0,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
6.1,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
6.2,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
6.3,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
6.4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
