Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob
2.5,237.4591,142.0,602.0,186.0,180.0,1.0,0.0354
2.6,188.6214,111.0,474.0,148.0,138.0,1.0,0.0354
2.7,149.7535,86.0,376.0,118.0,107.0,1.0,0.0354
2.8,118.926,66.0,298.0,94.0,92.0,1.0,0.0354
2.9,94.4528,51.0,237.0,75.0,71.0,1.0,0.0354
3.0,75.0293,39.0,191.0,59.0,57.0,1.0,0.0354
3.1,59.5353,30.0,155.0,47.0,44.0,1.0,0.0354
3.2,47.2693,23.0,120.0,38.0,35.0,1.0,0.0354
3.3,37.5229,17.0,98.0,30.0,27.0,1.0,0.0354
3.4,29.8196,12.0,77.0,24.0,21.0,1.0,0.0354
3.5,23.6978,9.0,63.0,19.0,17.0,1.0,0.0354
3.6,18.8372,6.0,49.0,15.0,13.0,1.0,0.0354
3.7,14.9506,5.0,40.0,12.0,11.0,1.0,0.0354
3.8,11.8862,3.0,33.0,9.0,8.0,0.9997,0.0354
3.9,9.4392,2.0,26.0,7.0,6.0,0.9981,0.0354
4.0,7.4983,1.0,21.0,6.0,5.0,0.9936,0.0354
4.1,5.948,1.0,17.0,5.0,4.0,0.9831,0.0354
4.2,4.7348,0.0,14.0,4.0,3.0,0.96,0.0354
4.3,3.7695,0.0,12.0,3.0,2.0,0.9264,0.0354
4.4,2.9927,0.0,10.0,2.0,1.0,0.8754,0.0354
4.5,2.3701,0.0,8.0,2.0,1.0,0.8124,0.0354
4.6,1.8795,0.0,7.0,1.0,1.0,0.7391,0.0354
4.7,1.4948,0.0,6.0,1.0,0.0,0.6609,0.0354
4.8,1.1856,0.0,5.0,1.0,0.0,0.5786,0.0354
4.9,0.9443,0.0,4.0,1.0,0.0,0.5037,0.0354
5.0,0.7473,0.0,4.0,0.0,0.0,0.427,0.0354
5.1,0.5923,0.0,3.0,0.0,0.0,0.3602,0.0354
5.2,0.4759,0.0,3.0,0.0,0.0,0.3053,0.0354
5.3,0.3724,0.0,2.0,0.0,0.0,0.2485,0.0354
5.4,0.2943,0.0,2.0,0.0,0.0,0.2062,0.0354
5.5,0.2318,0.0,2.0,0.0,0.0,0.1704,0.0354
5.6,0.186,0.0,2.0,0.0,0.0,0.1404,0.0354
5.7,0.1466,0.0,1.0,0.0,0.0,0.1137,0.0354
5.8,0.1165,0.0,1.0,0.0,0.0,0.0934,0.0354
5.9,0.0904,0.0,1.0,0.0,0.0,0.0744,0.0348
6.0,0.0734,0.0,1.0,0.0,0.0,0.0621,0.0337
6.1,0.0584,0.0,1.0,0.0,0.0,0.0504,0.03
6.2,0.044,0.0,1.0,0.0,0.0,0.0389,0.0256
6.3,0.034,0.0,1.0,0.0,0.0,0.0306,0.0213
6.4,0.0255,0.0,0.0,0.0,0.0,0.0237,0.0179
6.5,0.0183,0.0,0.0,0.0,0.0,0.0173,0.0136
6.6,0.014,0.0,0.0,0.0,0.0,0.0135,0.0111
6.7,0.011,0.0,0.0,0.0,0.0,0.0106,0.0087
6.8,0.0081,0.0,0.0,0.0,0.0,0.008,0.0073
6.9,0.0058,0.0,0.0,0.0,0.0,0.0057,0.0053
7.0,0.0049,0.0,0.0,0.0,0.0,0.0048,0.0046
7.1,0.004,0.0,0.0,0.0,0.0,0.004,0.0038
7.2,0.0028,0.0,0.0,0.0,0.0,0.0028,0.0028
7.3,0.0022,0.0,0.0,0.0,0.0,0.0022,0.0022
7.4,0.0013,0.0,0.0,0.0,0.0,0.0013,0.0013
7.5,0.001,0.0,0.0,0.0,0.0,0.001,0.001
7.6,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,8.0E-4
7.7,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4
7.8,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,4.0E-4
7.9,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
8.0,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
