Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob
2.5,53.1932,27.0,118.0,42.0,39.0,1.0,0.0093
2.6,42.2778,20.0,94.0,33.0,31.0,1.0,0.0093
2.7,33.5768,15.0,75.0,27.0,25.0,1.0,0.0093
2.8,26.6636,11.0,59.0,21.0,19.0,1.0,0.0093
2.9,21.1691,8.0,48.0,17.0,15.0,1.0,0.0093
3.0,16.799,6.0,39.0,13.0,12.0,1.0,0.0093
3.1,13.3335,4.0,31.0,10.0,8.0,0.9999,0.0093
3.2,10.5848,3.0,25.0,8.0,8.0,0.9995,0.0093
3.3,8.4191,2.0,20.0,7.0,6.0,0.9969,0.0093
3.4,6.6845,1.0,17.0,5.0,4.0,0.9894,0.0093
3.5,5.307,0.0,14.0,4.0,4.0,0.9735,0.0093
3.6,4.2217,0.0,11.0,3.0,2.0,0.943,0.0093
3.7,3.3492,0.0,10.0,2.0,2.0,0.9003,0.0093
3.8,2.6606,0.0,8.0,2.0,1.0,0.8477,0.0093
3.9,2.1154,0.0,7.0,1.0,1.0,0.7798,0.0093
4.0,1.6734,0.0,6.0,1.0,1.0,0.6993,0.0093
4.1,1.33,0.0,5.0,1.0,0.0,0.6252,0.0093
4.2,1.062,0.0,4.0,1.0,0.0,0.5467,0.0093
4.3,0.8441,0.0,4.0,0.0,0.0,0.4676,0.0093
4.4,0.6706,0.0,3.0,0.0,0.0,0.3963,0.0093
4.5,0.5358,0.0,3.0,0.0,0.0,0.3342,0.0093
4.6,0.4188,0.0,2.0,0.0,0.0,0.2734,0.0093
4.7,0.3301,0.0,2.0,0.0,0.0,0.2233,0.0093
4.8,0.2619,0.0,2.0,0.0,0.0,0.1822,0.0093
4.9,0.212,0.0,2.0,0.0,0.0,0.1515,0.0093
5.0,0.1663,0.0,1.0,0.0,0.0,0.1213,0.0093
5.1,0.1322,0.0,1.0,0.0,0.0,0.0998,0.0093
5.2,0.1073,0.0,1.0,0.0,0.0,0.0822,0.0093
5.3,0.0859,0.0,1.0,0.0,0.0,0.0662,0.0093
5.4,0.0677,0.0,1.0,0.0,0.0,0.053,0.0093
5.5,0.0535,0.0,1.0,0.0,0.0,0.043,0.0093
5.6,0.0437,0.0,1.0,0.0,0.0,0.0358,0.0093
5.7,0.0341,0.0,1.0,0.0,0.0,0.0283,0.0093
5.8,0.0266,0.0,0.0,0.0,0.0,0.023,0.0093
5.9,0.0202,0.0,0.0,0.0,0.0,0.0178,0.009
6.0,0.0168,0.0,0.0,0.0,0.0,0.0151,0.0086
6.1,0.0142,0.0,0.0,0.0,0.0,0.013,0.008
6.2,0.0111,0.0,0.0,0.0,0.0,0.0105,0.007
6.3,0.0092,0.0,0.0,0.0,0.0,0.0086,0.0061
6.4,0.0074,0.0,0.0,0.0,0.0,0.0071,0.0051
6.5,0.0053,0.0,0.0,0.0,0.0,0.0052,0.0039
6.6,0.004,0.0,0.0,0.0,0.0,0.0039,0.0032
6.7,0.0035,0.0,0.0,0.0,0.0,0.0034,0.0027
6.8,0.0026,0.0,0.0,0.0,0.0,0.0026,0.0023
6.9,0.0015,0.0,0.0,0.0,0.0,0.0015,0.0015
7.0,0.0012,0.0,0.0,0.0,0.0,0.0012,0.0012
7.1,0.001,0.0,0.0,0.0,0.0,0.001,0.001
7.2,7.0E-4,0.0,0.0,0.0,0.0,7.0E-4,7.0E-4
7.3,5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,5.0E-4
7.4,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.5,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.6,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.7,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.8,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
