Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,1000 yr Probability,1000 yr Supra-Seis Prob
5.0,7.399331,6.809,8.053,7.388,7.418,8.608642,1.0,1.0
5.1,5.85091,5.368,6.361,5.847,5.897,6.830068,1.0,1.0
5.2,4.620396,4.224,5.037,4.613,4.563,5.4173,1.0,1.0
5.3,3.643055,3.326,4.003,3.633,3.572,4.2950974,1.0,1.0
5.4,2.867065,2.609,3.149,2.859,2.784,3.4037008,1.0,1.0
5.5,2.249539,2.045,2.475,2.245,2.204,2.6956394,1.0,1.0
5.6,1.760195,1.589,1.946,1.756,1.815,2.1332066,1.0,1.0
5.7,1.370256,1.235,1.517,1.364,1.399,1.6863642,1.0,1.0
5.8,1.060141,0.952,1.182,1.057,1.041,1.3311276,1.0,1.0
5.9,0.803464,0.718,0.902,0.802,0.814,1.0356472,1.0,1.0
6.0,0.632763,0.564,0.714,0.63,0.625,0.83624506,1.0,1.0
6.1,0.483978,0.426,0.551,0.482,0.48,0.66032434,1.0,1.0
6.2,0.381053,0.33,0.437,0.38,0.366,0.5290011,1.0,1.0
6.3,0.300654,0.263,0.345,0.3,0.31,0.42016467,1.0,1.0
6.4,0.233775,0.199,0.271,0.233,0.235,0.33243415,1.0,1.0
6.5,0.17916,0.149,0.212,0.179,0.175,0.2601263,1.0,1.0
6.6,0.138886,0.111,0.167,0.139,0.13,0.20548344,1.0,1.0
6.7,0.106682,0.085,0.131,0.106,0.11,0.16021843,1.0,1.0
6.8,0.084057,0.067,0.104,0.084,0.083,0.12689023,1.0,1.0
6.9,0.065276,0.051,0.082,0.065,0.065,0.09975841,1.0,1.0
7.0,0.051066,0.038,0.066,0.051,0.052,0.077940285,1.0,1.0
7.1,0.038354,0.028,0.05,0.038,0.037,0.05961322,1.0,1.0
7.2,0.028693,0.02,0.039,0.029,0.029,0.045241926,1.0,1.0
7.3,0.022632,0.015,0.031,0.022,0.022,0.035294022,1.0,1.0
7.4,0.017412,0.011,0.024,0.017,0.018,0.026938815,1.0,1.0
7.5,0.012374,0.007,0.018,0.012,0.012,0.019023713,1.0,1.0
7.6,0.009447,0.005,0.014,0.009,0.009,0.013821237,1.0,1.0
7.7,0.006726,0.003,0.011,0.007,0.007,0.009578903,1.0,1.0
7.8,0.004764,0.002,0.008,0.005,0.004,0.006191872,0.998,0.998
7.9,0.002659,0.0,0.005,0.003,0.002,0.0035149523,0.971,0.971
8.0,0.001507,0.0,0.004,0.001,0.001,0.0020316083,0.841,0.841
8.1,7.21E-4,0.0,0.002,0.001,0.0,0.0010248122,0.547,0.547
8.2,3.28E-4,0.0,0.002,0.0,0.0,4.4834707E-4,0.295,0.295
8.3,6.5E-5,0.0,0.001,0.0,0.0,1.0199686E-4,0.065,0.065
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
