Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,1.8314004,0.0,5.0,1.0,1.0,0.8043499,0.0,1.6243454
2.6,1.4492241,0.0,4.0,1.0,1.0,0.72519034,0.0,1.2854435
2.7,1.1553956,0.0,4.0,1.0,0.0,0.6427539,0.0,1.0256369
2.8,0.92199695,0.0,3.0,1.0,0.0,0.5594821,0.0,0.81787515
2.9,0.7328364,0.0,3.0,0.0,0.0,0.4790375,0.0,0.6505606
3.0,0.58164936,0.0,2.0,0.0,0.0,0.40575707,0.0,0.5169467
3.1,0.4608218,0.0,2.0,0.0,0.0,0.33896616,0.0,0.40906608
3.2,0.36688405,0.0,2.0,0.0,0.0,0.2805924,0.0,0.32582647
3.3,0.29183668,0.0,2.0,0.0,0.0,0.23140682,0.0,0.2590998
3.4,0.23140682,0.0,2.0,0.0,0.0,0.18822888,0.0,0.20580204
3.5,0.18360266,0.0,1.0,0.0,0.0,0.15215087,0.0,0.16310598
3.6,0.14399074,0.0,1.0,0.0,0.0,0.1218235,0.0,0.12773477
3.7,0.11469143,0.0,1.0,0.0,0.0,0.098339066,0.0,0.101551704
3.8,0.09075722,0.0,1.0,0.0,0.0,0.079031065,0.0,0.080669515
3.9,0.072156005,0.0,1.0,0.0,0.0,0.06344974,0.0,0.06386738
4.0,0.058213126,0.0,1.0,0.0,0.0,0.051466573,0.0,0.05140232
4.1,0.044944905,0.0,1.0,0.0,0.0,0.03999743,0.0,0.03964404
4.2,0.034375302,0.0,1.0,0.0,0.0,0.030552253,0.0,0.030263115
4.3,0.027403861,0.0,0.0,0.0,0.0,0.024544608,0.0,0.024062712
4.4,0.021203456,0.0,0.0,0.0,0.0,0.01908311,0.0,0.018601215
4.5,0.016834259,0.0,0.0,0.0,0.0,0.015163684,0.0,0.014713914
4.6,0.013364603,0.0,0.0,0.0,0.0,0.012111671,0.0,0.011758281
4.7,0.010794487,0.0,0.0,0.0,0.0,0.009702188,0.0,0.00941305
4.8,0.008481382,0.0,0.0,0.0,0.0,0.007646095,0.0,0.0073248306
4.9,0.0069071865,0.0,0.0,0.0,0.0,0.0062646577,0.0,0.0059433933
5.0,0.0054614963,0.0,0.0,0.0,0.0,0.004915347,0.0,0.004690462
5.1,0.0042085648,0.0,0.0,0.0,0.0,0.0038873004,0.0,0.0037266682
5.2,0.0033090243,0.0,0.0,0.0,0.0,0.0030198863,0.0,0.0028913806
5.3,0.0028592541,0.0,0.0,0.0,0.0,0.002570116,0.0,0.0024737366
5.4,0.0022167251,0.0,0.0,0.0,0.0,0.0019918398,0.0,0.001927587
5.5,0.0018312077,0.0,0.0,0.0,0.0,0.0017348282,0.0,0.0017027018
5.6,0.0014778167,0.0,0.0,0.0,0.0,0.0014135637,0.0,0.0014135637
5.7,0.0010280464,0.0,0.0,0.0,0.0,9.637935E-4,0.0,9.637935E-4
5.8,7.710348E-4,0.0,0.0,0.0,0.0,7.710348E-4,0.0,7.710348E-4
5.9,6.1040255E-4,0.0,0.0,0.0,0.0,6.1040255E-4,0.0,6.1040255E-4
6.0,4.8189674E-4,0.0,0.0,0.0,0.0,4.8189674E-4,0.0,4.8189674E-4
6.1,4.1764384E-4,0.0,0.0,0.0,0.0,4.1764384E-4,0.0,4.1764384E-4
6.2,2.8913806E-4,0.0,0.0,0.0,0.0,2.8913806E-4,0.0,2.8913806E-4
6.3,2.570116E-4,0.0,0.0,0.0,0.0,2.570116E-4,0.0,2.570116E-4
6.4,1.6063225E-4,0.0,0.0,0.0,0.0,1.6063225E-4,0.0,1.6063225E-4
6.5,1.285058E-4,0.0,0.0,0.0,0.0,1.285058E-4,0.0,1.285058E-4
6.6,1.285058E-4,0.0,0.0,0.0,0.0,1.285058E-4,0.0,1.285058E-4
6.7,1.285058E-4,0.0,0.0,0.0,0.0,1.285058E-4,0.0,1.285058E-4
6.8,9.637935E-5,0.0,0.0,0.0,0.0,9.637935E-5,0.0,9.637935E-5
6.9,9.637935E-5,0.0,0.0,0.0,0.0,9.637935E-5,0.0,9.637935E-5
7.0,9.637935E-5,0.0,0.0,0.0,0.0,9.637935E-5,0.0,9.637935E-5
7.1,6.42529E-5,0.0,0.0,0.0,0.0,6.42529E-5,0.0,6.42529E-5
7.2,6.42529E-5,0.0,0.0,0.0,0.0,6.42529E-5,0.0,6.42529E-5
7.3,6.42529E-5,0.0,0.0,0.0,0.0,6.42529E-5,0.0,6.42529E-5
7.4,3.212645E-5,0.0,0.0,0.0,0.0,3.212645E-5,0.0,3.212645E-5
7.5,3.212645E-5,0.0,0.0,0.0,0.0,3.212645E-5,0.0,3.212645E-5
7.6,3.212645E-5,0.0,0.0,0.0,0.0,3.212645E-5,0.0,3.212645E-5
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
