Section Name,"Strike, Dip, Rake",Hypocenter In Polygon?,Surface In Polygon?,Minimum Distance (km),Minimum Poly Distance (km)
San Andreas (Mojave S),"117, 90, 180",false,false,31.211,19.211
Helendale-So Lockhart,"329, 90, 180",false,false,34.554,22.711
Lenwood-Lockhart-Old Woman Springs,"298, 90, 180",false,false,44.993,33.212
