Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,500 yr Probability,500 yr Supra-Seis Prob
5.0,7.0697,6.444,7.764,7.058,7.048,1.0,1.0
5.1,5.59371,5.074,6.156,5.588,5.606,1.0,1.0
5.2,4.417648,4.002,4.866,4.412,4.456,1.0,1.0
5.3,3.48484,3.144,3.844,3.478,3.548,1.0,1.0
5.4,2.746246,2.46,3.038,2.744,2.694,1.0,1.0
5.5,2.16047,1.926,2.4,2.158,2.114,1.0,1.0
5.6,1.69417,1.5,1.892,1.69,1.716,1.0,1.0
5.7,1.323478,1.168,1.488,1.32,1.34,1.0,1.0
5.8,1.028138,0.904,1.164,1.026,1.006,1.0,1.0
5.9,0.783958,0.684,0.896,0.782,0.774,1.0,1.0
6.0,0.621192,0.536,0.714,0.618,0.628,1.0,1.0
6.1,0.478504,0.406,0.556,0.476,0.484,1.0,1.0
6.2,0.378022,0.322,0.44,0.376,0.382,1.0,1.0
6.3,0.298434,0.246,0.352,0.298,0.29,1.0,1.0
6.4,0.234424,0.19,0.282,0.234,0.24,1.0,1.0
6.5,0.181376,0.144,0.22,0.182,0.186,1.0,1.0
6.6,0.141514,0.11,0.174,0.142,0.148,1.0,1.0
6.7,0.109418,0.084,0.138,0.11,0.11,1.0,1.0
6.8,0.086378,0.064,0.11,0.086,0.088,1.0,1.0
6.9,0.067318,0.048,0.088,0.068,0.072,1.0,1.0
7.0,0.053008,0.036,0.07,0.052,0.05,1.0,1.0
7.1,0.040628,0.026,0.056,0.04,0.038,1.0,1.0
7.2,0.030838,0.02,0.044,0.03,0.03,1.0,1.0
7.3,0.02455,0.014,0.036,0.024,0.024,1.0,1.0
7.4,0.019118,0.01,0.03,0.018,0.018,1.0,1.0
7.5,0.013904,0.008,0.022,0.014,0.014,1.0,1.0
7.6,0.010594,0.006,0.018,0.01,0.01,1.0,1.0
7.7,0.007624,0.004,0.012,0.008,0.008,0.999,0.999
7.8,0.005392,0.002,0.01,0.006,0.006,0.99,0.99
7.9,0.003006,0.0,0.006,0.002,0.002,0.876,0.876
8.0,0.001604,0.0,0.004,0.002,0.002,0.618,0.618
8.1,7.68E-4,0.0,0.004,0.0,0.0,0.34,0.34
8.2,3.58E-4,0.0,0.002,0.0,0.0,0.171,0.171
8.3,7.4E-5,0.0,0.002,0.0,0.0,0.037,0.037
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
