Parent ID,Parent Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
861,Airport Lake,0.0351,0.01335,0.01854,0.02233,0.02893,0.03501,0.02316
667,Almanor 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Anacapa-Dume alt 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Anaheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,Antelope Valley 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,Ash Hill,0.00414,5.6E-4,0.00115,0.00176,0.00288,0.00413,5.4E-4
881,Baker,3.0E-4,1.0E-5,5.0E-5,1.0E-4,2.1E-4,3.0E-4,4.0E-5
668,Bartlett Springs 2011 CFM,1.0E-5,0.0,0.0,1.0E-5,1.0E-5,1.0E-5,0.0
669,Battle Creek 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Bicycle Lake,8.0E-4,9.0E-5,1.8E-4,2.5E-4,5.2E-4,8.0E-4,4.0E-5
741,Big Lagoon - Bald Mtn 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Big Pine (Central),0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,Big Pine (East),8.0E-5,3.0E-5,5.0E-5,7.0E-5,8.0E-5,8.0E-5,1.0E-5
200,Big Pine (West),0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Blackwater,0.00285,5.1E-4,8.1E-4,0.00117,0.00195,0.00284,6.5E-4
169,Blue Cut,2.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,2.0E-5,1.0E-5
170,Brawley (Seismic Zone) alt 1,8.0E-5,1.0E-5,2.0E-5,3.0E-5,5.0E-5,8.0E-5,3.0E-5
541,Breckenridge 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882,Bullion Mountains,4.0E-5,2.0E-5,2.0E-5,3.0E-5,4.0E-5,4.0E-5,1.0E-5
94,Burnt Mtn,3.0E-5,1.0E-5,1.0E-5,1.0E-5,3.0E-5,3.0E-5,1.0E-5
561,Butano 2011 CFM,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
165,Cady,1.1E-4,1.0E-5,1.0E-5,2.0E-5,4.0E-5,1.1E-4,2.0E-5
602,Calaveras (Central) 2011 CFM,5.0E-5,0.0,1.0E-5,2.0E-5,3.0E-5,4.0E-5,0.0
601,Calaveras (No) 2011 CFM,3.0E-5,0.0,0.0,1.0E-5,2.0E-5,3.0E-5,0.0
621,Calaveras (So) - Paicines extension 2011 CFM,4.0E-5,0.0,1.0E-5,2.0E-5,3.0E-5,4.0E-5,0.0
603,Calaveras (So) 2011 CFM,3.0E-5,0.0,1.0E-5,2.0E-5,3.0E-5,3.0E-5,0.0
88,Calico-Hidalgo,1.9E-4,2.0E-5,3.0E-5,4.0E-5,1.1E-4,1.9E-4,4.0E-5
724,Camp Rock 2011,3.0E-5,0.0,0.0,1.0E-5,1.0E-5,3.0E-5,0.0
173,Canada David (Detachment),0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Carlsbad,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,Carson Range (Genoa),0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,Casmalia 2011 CFM,2.0E-5,0.0,1.0E-5,1.0E-5,2.0E-5,2.0E-5,0.0
34,Cedar Mtn-Mahogany Mtn,1.0E-5,0.0,0.0,1.0E-5,1.0E-5,1.0E-5,0.0
172,Cerro Prieto,3.0E-5,0.0,0.0,0.0,1.0E-5,3.0E-5,0.0
129,Channel Islands Thrust,7.0E-5,0.0,1.0E-5,2.0E-5,3.0E-5,6.0E-5,1.0E-5
214,Channel Islands Western Deep Ramp,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
238,Chino alt 1,4.0E-5,0.0,0.0,2.0E-5,3.0E-5,4.0E-5,0.0
124,Clamshell-Sawpit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844,Clayton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Cleghorn,3.0E-5,2.0E-5,2.0E-5,3.0E-5,3.0E-5,3.0E-5,1.0E-5
884,Cleghorn Lake,1.0E-4,3.0E-5,4.0E-5,5.0E-5,7.0E-5,1.0E-4,2.0E-5
883,Cleghorn Pass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,Collayami 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,Compton,1.0E-5,0.0,1.0E-5,1.0E-5,1.0E-5,1.0E-5,1.0E-5
622,Concord 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,Contra Costa (Lafayette) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,Contra Costa Shear Zone (connector) 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,Coronado Bank alt1,3.0E-5,0.0,1.0E-5,2.0E-5,3.0E-5,3.0E-5,0.0
157,Coyote Canyon,0.00227,2.3E-4,4.3E-4,6.1E-4,0.00128,0.00211,2.1E-4
163,Coyote Lake,8.4E-4,1.3E-4,1.6E-4,2.3E-4,4.4E-4,8.1E-4,1.6E-4
125,Cucamonga,5.0E-5,1.0E-5,1.0E-5,2.0E-5,4.0E-5,5.0E-5,1.0E-5
894,Davis Creek,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Death Valley (Black Mtns Frontal),0.00129,1.8E-4,3.1E-4,4.9E-4,8.7E-4,0.00127,1.9E-4
45,Death Valley (Fish Lake Valley),4.2E-4,5.0E-5,9.0E-5,1.0E-4,2.5E-4,4.1E-4,6.0E-5
46,Death Valley (No),6.8E-4,6.0E-5,1.2E-4,1.7E-4,4.0E-4,6.8E-4,5.0E-5
246,Death Valley (So),0.00507,5.7E-4,0.00115,0.0017,0.00308,0.00496,4.1E-4
51,Deep Springs,1.4E-4,4.0E-5,4.0E-5,4.0E-5,1.0E-4,1.4E-4,6.0E-5
230,Del Valle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
889,Dog Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0
888,Dry Mountain,6.0E-5,1.0E-5,1.0E-5,1.0E-5,4.0E-5,6.0E-5,0.0
249,Earthquake Valley,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
255,Earthquake Valley (No  Extension),1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,0.0
256,Earthquake Valley (So Extension),0.0,0.0,0.0,0.0,0.0,0.0,0.0
671,East Huasna 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,Eaton Roughs 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Elmore Ranch,0.0,0.0,0.0,0.0,0.0,0.0,0.0
