Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,2263.5188,1749.0,4894.0,2011.0,1910.0,1.0,0.18124,1428.1025
2.6,1798.0149,1384.0,3894.0,1598.0,1524.0,1.0,0.18124,1134.4086
2.7,1428.1853,1094.0,3097.0,1270.0,1217.0,1.0,0.18124,901.033
2.8,1134.3187,864.0,2454.0,1009.0,968.0,1.0,0.18124,715.65137
2.9,901.0817,682.0,1955.0,803.0,786.0,1.0,0.18124,568.5087
3.0,715.7672,538.0,1555.0,638.0,617.0,1.0,0.18124,451.58408
3.1,568.5984,424.0,1238.0,508.0,484.0,1.0,0.18124,358.74228
3.2,451.6325,333.0,982.0,404.0,381.0,1.0,0.18124,284.94064
3.3,358.70224,261.0,783.0,321.0,305.0,1.0,0.18124,226.324
3.4,284.8702,204.0,623.0,255.0,250.0,1.0,0.18124,179.7455
3.5,226.19955,160.0,496.0,203.0,196.0,1.0,0.18124,142.73782
3.6,179.61755,124.0,396.0,161.0,153.0,1.0,0.18124,113.33908
3.7,142.65439,97.0,315.0,128.0,123.0,1.0,0.18124,90.00627
3.8,113.29049,75.0,251.0,102.0,99.0,1.0,0.18124,71.48686
3.9,89.93735,58.0,199.0,81.0,78.0,1.0,0.18124,56.75653
4.0,71.41841,44.0,159.0,64.0,62.0,1.0,0.18124,45.06201
4.1,56.70859,34.0,127.0,51.0,49.0,1.0,0.18124,35.78517
4.2,45.00771,26.0,101.0,41.0,38.0,1.0,0.18124,28.40081
4.3,35.72298,19.0,81.0,32.0,30.0,1.0,0.18124,22.54673
4.4,28.3412,14.0,65.0,26.0,24.0,1.0,0.18124,17.88436
4.5,22.46465,10.0,52.0,20.0,19.0,1.0,0.18124,14.17552
4.6,17.80393,7.0,42.0,16.0,14.0,1.0,0.18124,11.24024
4.7,14.10196,5.0,33.0,13.0,12.0,0.99998,0.18124,8.90303
4.8,11.16246,4.0,27.0,10.0,9.0,0.99984,0.18124,7.04794
4.9,8.82867,2.0,22.0,8.0,7.0,0.99895,0.18124,5.57856
5.0,6.97997,1.0,18.0,6.0,5.0,0.99583,0.18124,4.41433
5.1,5.50479,1.0,15.0,5.0,4.0,0.987,0.18124,3.48165
5.2,4.33294,0.0,12.0,4.0,3.0,0.9682,0.18124,2.74166
5.3,3.40476,0.0,10.0,3.0,2.0,0.93567,0.18124,2.15376
5.4,2.66537,0.0,8.0,2.0,2.0,0.88601,0.18124,1.68931
5.5,2.07133,0.0,7.0,2.0,1.0,0.81929,0.18124,1.31455
5.6,1.61208,0.0,6.0,1.0,1.0,0.7405,0.18124,1.02486
5.7,1.24236,0.0,5.0,1.0,0.0,0.65058,0.18124,0.79014
5.8,0.95028,0.0,4.0,1.0,0.0,0.55668,0.18124,0.60533
5.9,0.71851,0.0,3.0,0.0,0.0,0.46422,0.18122,0.4579
6.0,0.55905,0.0,3.0,0.0,0.0,0.38711,0.18115,0.3554
6.1,0.41849,0.0,2.0,0.0,0.0,0.31097,0.15924,0.27016
6.2,0.27628,0.0,2.0,0.0,0.0,0.22082,0.12083,0.17928
6.3,0.21191,0.0,2.0,0.0,0.0,0.17675,0.1047,0.1398
6.4,0.16311,0.0,1.0,0.0,0.0,0.13817,0.08962,0.10699
6.5,0.12836,0.0,1.0,0.0,0.0,0.11095,0.07844,0.08463
6.6,0.10596,0.0,1.0,0.0,0.0,0.0949,0.07169,0.0722
6.7,0.08775,0.0,1.0,0.0,0.0,0.07989,0.06365,0.06048
6.8,0.07229,0.0,1.0,0.0,0.0,0.06736,0.05664,0.05088
6.9,0.05765,0.0,1.0,0.0,0.0,0.05494,0.04765,0.04123
7.0,0.04703,0.0,1.0,0.0,0.0,0.04553,0.04108,0.03414
7.1,0.04042,0.0,1.0,0.0,0.0,0.03945,0.03685,0.02956
7.2,0.03135,0.0,1.0,0.0,0.0,0.03076,0.02947,0.02285
7.3,0.02222,0.0,0.0,0.0,0.0,0.02186,0.02116,0.01624
7.4,0.01962,0.0,0.0,0.0,0.0,0.01937,0.01902,0.01445
7.5,0.0154,0.0,0.0,0.0,0.0,0.01522,0.01512,0.0113
7.6,0.00798,0.0,0.0,0.0,0.0,0.00793,0.00792,0.00619
7.7,0.00263,0.0,0.0,0.0,0.0,0.00263,0.00262,0.00202
7.8,0.0017,0.0,0.0,0.0,0.0,0.0017,0.0017,0.00137
7.9,9.7E-4,0.0,0.0,0.0,0.0,9.7E-4,9.7E-4,7.7E-4
8.0,2.7E-4,0.0,0.0,0.0,0.0,2.7E-4,2.7E-4,2.2E-4
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
