Parent ID,Parent Name,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
861,Airport Lake,0.04633,0.01742,0.02412,0.02934,0.03809,0.04611,0.03053
667,Almanor 2011 CFM,1.0E-5,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
219,Anacapa-Dume alt 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Anaheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,Antelope Valley 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,Ash Hill,0.01512,0.00219,0.00418,0.00597,0.00993,0.0142,0.0019
881,Baker,4.4E-4,4.0E-5,1.2E-4,1.7E-4,3.2E-4,4.4E-4,6.0E-5
668,Bartlett Springs 2011 CFM,1.0E-5,0.0,0.0,1.0E-5,1.0E-5,1.0E-5,0.0
669,Battle Creek 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Bicycle Lake,0.00242,2.5E-4,4.7E-4,7.0E-4,0.00142,0.00232,2.2E-4
741,Big Lagoon - Bald Mtn 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Big Pine (Central),7.0E-5,1.0E-5,2.0E-5,4.0E-5,4.0E-5,7.0E-5,1.0E-5
191,Big Pine (East),1.2E-4,3.0E-5,5.0E-5,7.0E-5,9.0E-5,1.2E-4,1.0E-5
200,Big Pine (West),0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Blackwater,0.01497,0.0026,0.00436,0.00625,0.01008,0.01434,0.00327
169,Blue Cut,9.0E-5,2.0E-5,4.0E-5,6.0E-5,7.0E-5,9.0E-5,2.0E-5
170,Brawley (Seismic Zone) alt 1,1.0E-4,1.0E-5,2.0E-5,3.0E-5,5.0E-5,1.0E-4,3.0E-5
