Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob
2.5,61.2541,28.0,138.0,44.0,41.0,1.0,0.0107
2.6,48.5821,21.0,112.0,35.0,33.0,1.0,0.0107
2.7,38.5316,15.0,88.0,28.0,26.0,1.0,0.0107
2.8,30.5996,12.0,70.0,22.0,21.0,1.0,0.0107
2.9,24.3023,8.0,56.0,17.0,15.0,1.0,0.0107
3.0,19.3082,6.0,45.0,14.0,12.0,1.0,0.0107
3.1,15.3047,4.0,37.0,11.0,11.0,0.9999,0.0107
3.2,12.165,3.0,29.0,9.0,8.0,0.9995,0.0107
3.3,9.6627,2.0,23.0,7.0,6.0,0.998,0.0107
3.4,7.6746,1.0,19.0,5.0,5.0,0.9917,0.0107
3.5,6.1096,1.0,16.0,4.0,3.0,0.9795,0.0107
3.6,4.85,0.0,13.0,3.0,3.0,0.9544,0.0107
3.7,3.8562,0.0,11.0,3.0,2.0,0.9148,0.0107
3.8,3.0633,0.0,9.0,2.0,1.0,0.8582,0.0107
3.9,2.4279,0.0,8.0,1.0,1.0,0.7883,0.0107
4.0,1.9257,0.0,7.0,1.0,1.0,0.7105,0.0107
4.1,1.531,0.0,6.0,1.0,0.0,0.6323,0.0107
4.2,1.2107,0.0,5.0,1.0,0.0,0.5466,0.0107
4.3,0.9672,0.0,4.0,0.0,0.0,0.4727,0.0107
4.4,0.7679,0.0,4.0,0.0,0.0,0.4005,0.0107
4.5,0.6145,0.0,3.0,0.0,0.0,0.3399,0.0107
4.6,0.492,0.0,3.0,0.0,0.0,0.2841,0.0107
4.7,0.3936,0.0,2.0,0.0,0.0,0.2352,0.0107
4.8,0.3134,0.0,2.0,0.0,0.0,0.1945,0.0107
4.9,0.2509,0.0,2.0,0.0,0.0,0.1607,0.0107
5.0,0.1953,0.0,2.0,0.0,0.0,0.1294,0.0107
5.1,0.153,0.0,1.0,0.0,0.0,0.105,0.0107
5.2,0.124,0.0,1.0,0.0,0.0,0.0854,0.0107
5.3,0.0989,0.0,1.0,0.0,0.0,0.0682,0.0107
5.4,0.0791,0.0,1.0,0.0,0.0,0.0569,0.0107
5.5,0.0624,0.0,1.0,0.0,0.0,0.0472,0.0107
5.6,0.0509,0.0,1.0,0.0,0.0,0.0399,0.0107
5.7,0.039,0.0,1.0,0.0,0.0,0.0316,0.0107
5.8,0.0327,0.0,1.0,0.0,0.0,0.0273,0.0107
5.9,0.0269,0.0,0.0,0.0,0.0,0.0234,0.0102
6.0,0.0206,0.0,0.0,0.0,0.0,0.0181,0.0097
6.1,0.0154,0.0,0.0,0.0,0.0,0.0137,0.008
6.2,0.012,0.0,0.0,0.0,0.0,0.0109,0.0069
6.3,0.0099,0.0,0.0,0.0,0.0,0.009,0.006
6.4,0.0074,0.0,0.0,0.0,0.0,0.0067,0.0049
6.5,0.0055,0.0,0.0,0.0,0.0,0.0051,0.0038
6.6,0.0037,0.0,0.0,0.0,0.0,0.0036,0.0027
6.7,0.0029,0.0,0.0,0.0,0.0,0.0029,0.0024
6.8,0.0027,0.0,0.0,0.0,0.0,0.0027,0.0023
6.9,0.0025,0.0,0.0,0.0,0.0,0.0025,0.0022
7.0,0.002,0.0,0.0,0.0,0.0,0.002,0.0018
7.1,0.0014,0.0,0.0,0.0,0.0,0.0014,0.0012
7.2,0.0011,0.0,0.0,0.0,0.0,0.0011,0.001
7.3,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,7.0E-4
7.4,6.0E-4,0.0,0.0,0.0,0.0,6.0E-4,6.0E-4
7.5,6.0E-4,0.0,0.0,0.0,0.0,6.0E-4,6.0E-4
7.6,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,4.0E-4
7.7,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.8,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
7.9,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
8.0,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
8.1,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
8.2,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
