Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob
2.5,4.0392,0.0,10.0,3.0,2.0,0.9422,7.0E-4
2.6,3.2001,0.0,8.0,2.0,2.0,0.8996,7.0E-4
2.7,2.5293,0.0,7.0,2.0,1.0,0.8411,7.0E-4
2.8,2.0137,0.0,6.0,1.0,1.0,0.7742,7.0E-4
2.9,1.6068,0.0,5.0,1.0,1.0,0.695,7.0E-4
3.0,1.2797,0.0,4.0,1.0,0.0,0.6143,7.0E-4
3.1,1.0181,0.0,4.0,1.0,0.0,0.5322,7.0E-4
3.2,0.8008,0.0,3.0,0.0,0.0,0.4524,7.0E-4
3.3,0.6407,0.0,3.0,0.0,0.0,0.3813,7.0E-4
3.4,0.5191,0.0,3.0,0.0,0.0,0.3254,7.0E-4
3.5,0.4122,0.0,2.0,0.0,0.0,0.2679,7.0E-4
3.6,0.3296,0.0,2.0,0.0,0.0,0.2218,7.0E-4
3.7,0.2614,0.0,2.0,0.0,0.0,0.1802,7.0E-4
3.8,0.2091,0.0,2.0,0.0,0.0,0.1475,7.0E-4
3.9,0.1674,0.0,1.0,0.0,0.0,0.121,7.0E-4
4.0,0.1338,0.0,1.0,0.0,0.0,0.0982,7.0E-4
4.1,0.1079,0.0,1.0,0.0,0.0,0.0804,7.0E-4
4.2,0.0856,0.0,1.0,0.0,0.0,0.0642,7.0E-4
4.3,0.0711,0.0,1.0,0.0,0.0,0.0535,7.0E-4
4.4,0.0561,0.0,1.0,0.0,0.0,0.0428,7.0E-4
4.5,0.0461,0.0,1.0,0.0,0.0,0.0361,7.0E-4
4.6,0.0368,0.0,1.0,0.0,0.0,0.0293,7.0E-4
4.7,0.0305,0.0,0.0,0.0,0.0,0.0249,7.0E-4
4.8,0.024,0.0,0.0,0.0,0.0,0.0197,7.0E-4
4.9,0.0195,0.0,0.0,0.0,0.0,0.0161,7.0E-4
5.0,0.0151,0.0,0.0,0.0,0.0,0.0125,7.0E-4
5.1,0.0122,0.0,0.0,0.0,0.0,0.0106,7.0E-4
5.2,0.0096,0.0,0.0,0.0,0.0,0.0084,7.0E-4
5.3,0.0079,0.0,0.0,0.0,0.0,0.0069,7.0E-4
5.4,0.0073,0.0,0.0,0.0,0.0,0.0064,7.0E-4
5.5,0.0057,0.0,0.0,0.0,0.0,0.0049,7.0E-4
5.6,0.0047,0.0,0.0,0.0,0.0,0.0042,7.0E-4
5.7,0.003,0.0,0.0,0.0,0.0,0.0027,7.0E-4
5.8,0.002,0.0,0.0,0.0,0.0,0.002,7.0E-4
5.9,0.002,0.0,0.0,0.0,0.0,0.002,7.0E-4
6.0,0.0015,0.0,0.0,0.0,0.0,0.0015,7.0E-4
6.1,0.0011,0.0,0.0,0.0,0.0,0.0011,7.0E-4
6.2,9.0E-4,0.0,0.0,0.0,0.0,9.0E-4,7.0E-4
6.3,8.0E-4,0.0,0.0,0.0,0.0,8.0E-4,6.0E-4
6.4,4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,3.0E-4
6.5,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,2.0E-4
6.6,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,2.0E-4
6.7,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,2.0E-4
6.8,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,2.0E-4
6.9,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,2.0E-4
7.0,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,2.0E-4
7.1,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
