Subsection Index,Subsection Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
21,"Antelope Valley 2011, Subsection 0",0.0056,0.0,0.0,0.0,3.0E-4,0.0056,6.0E-4,0.0,0.0,0.0,1.0E-4,6.0E-4,3.0E-4
22,"Antelope Valley 2011, Subsection 1",0.0058,0.0,0.0,0.0,3.0E-4,0.0058,6.0E-4,0.0,0.0,0.0,1.0E-4,6.0E-4,3.0E-4
23,"Antelope Valley 2011, Subsection 2",0.0052,0.0,0.0,0.0,5.0E-4,0.0051,6.0E-4,0.0,0.0,0.0,2.0E-4,6.0E-4,5.0E-4
24,"Antelope Valley 2011, Subsection 3",0.0045,0.0,0.0,0.0,5.0E-4,0.0045,6.0E-4,0.0,0.0,0.0,2.0E-4,6.0E-4,5.0E-4
25,"Antelope Valley 2011, Subsection 4",0.0055,0.0,0.0,0.0,5.0E-4,0.0055,7.0E-4,0.0,0.0,0.0,2.0E-4,7.0E-4,5.0E-4
26,"Antelope Valley 2011, Subsection 5",0.0049,0.0,0.0,0.0,5.0E-4,0.0049,5.0E-4,0.0,0.0,0.0,2.0E-4,5.0E-4,3.0E-4
27,"Ash Hill, Subsection 0",0.0042,0.0,0.0,2.0E-4,7.0E-4,0.0042,0.0021,0.0,0.0,2.0E-4,6.0E-4,0.0021,4.0E-4
28,"Ash Hill, Subsection 1",0.0045,0.0,0.0,2.0E-4,8.0E-4,0.0045,0.0022,0.0,0.0,2.0E-4,7.0E-4,0.0022,5.0E-4
29,"Ash Hill, Subsection 2",0.0027,0.0,0.0,1.0E-4,4.0E-4,0.0027,0.0012,0.0,0.0,1.0E-4,4.0E-4,0.0012,4.0E-4
30,"Ash Hill, Subsection 3",0.003,0.0,0.0,0.0,4.0E-4,0.003,0.0015,0.0,0.0,0.0,3.0E-4,0.0015,5.0E-4
31,"Ash Hill, Subsection 4",0.0041,0.0,0.0,0.0,5.0E-4,0.004,0.002,0.0,0.0,0.0,4.0E-4,0.0019,5.0E-4
32,"Ash Hill, Subsection 5",0.0043,0.0,0.0,0.0,4.0E-4,0.0042,0.0021,0.0,0.0,0.0,3.0E-4,0.002,6.0E-4
33,"Ash Hill, Subsection 6",0.0075,0.0,0.0,2.0E-4,0.0017,0.0075,0.0045,0.0,0.0,2.0E-4,0.0015,0.0045,0.0014
34,"Ash Hill, Subsection 7",0.007,0.0,0.0,2.0E-4,0.0016,0.007,0.0042,0.0,0.0,2.0E-4,0.0014,0.0042,0.0013
35,"Baker, Subsection 0",0.0014,0.0,0.0,0.0,1.0E-4,0.0014,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,1.0E-4
36,"Baker, Subsection 1",0.0014,0.0,0.0,0.0,1.0E-4,0.0014,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,1.0E-4
37,"Baker, Subsection 2",5.0E-4,0.0,0.0,0.0,1.0E-4,5.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"Baker, Subsection 3",7.0E-4,0.0,0.0,0.0,1.0E-4,7.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"Baker, Subsection 4",6.0E-4,0.0,0.0,0.0,1.0E-4,6.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,"Baker, Subsection 5",8.0E-4,0.0,0.0,0.0,1.0E-4,8.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"Baker, Subsection 6",8.0E-4,0.0,0.0,0.0,1.0E-4,8.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"Baker, Subsection 7",8.0E-4,0.0,0.0,0.0,1.0E-4,8.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"Baker, Subsection 8",7.0E-4,0.0,0.0,0.0,1.0E-4,7.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"Baker, Subsection 9",7.0E-4,0.0,0.0,0.0,1.0E-4,7.0E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"Baker, Subsection 10",5.0E-4,0.0,0.0,0.0,0.0,5.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
46,"Baker, Subsection 11",4.0E-4,0.0,0.0,0.0,0.0,4.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4
47,"Baker, Subsection 12",6.0E-4,0.0,0.0,0.0,0.0,6.0E-4,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,1.0E-4
48,"Baker, Subsection 13",6.0E-4,0.0,0.0,0.0,0.0,6.0E-4,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,1.0E-4
49,"Bartlett Springs 2011 CFM, Subsection 0",0.01,0.0,1.0E-4,1.0E-4,9.0E-4,0.01,0.0012,0.0,0.0,0.0,2.0E-4,0.0012,1.0E-4
50,"Bartlett Springs 2011 CFM, Subsection 1",0.0103,0.0,1.0E-4,1.0E-4,9.0E-4,0.0103,0.0012,0.0,0.0,0.0,2.0E-4,0.0012,1.0E-4
51,"Bartlett Springs 2011 CFM, Subsection 2",0.0091,0.0,1.0E-4,1.0E-4,9.0E-4,0.0091,0.0012,0.0,0.0,0.0,2.0E-4,0.0012,1.0E-4
52,"Bartlett Springs 2011 CFM, Subsection 3",0.0084,0.0,1.0E-4,1.0E-4,8.0E-4,0.0084,0.0012,0.0,0.0,0.0,2.0E-4,0.0012,1.0E-4
53,"Bartlett Springs 2011 CFM, Subsection 4",0.0081,0.0,1.0E-4,1.0E-4,6.0E-4,0.0081,0.0011,0.0,0.0,0.0,1.0E-4,0.0011,1.0E-4
54,"Bartlett Springs 2011 CFM, Subsection 5",0.0083,0.0,1.0E-4,1.0E-4,7.0E-4,0.0083,0.0011,0.0,0.0,0.0,1.0E-4,0.0011,1.0E-4
55,"Bartlett Springs 2011 CFM, Subsection 6",0.0082,0.0,1.0E-4,1.0E-4,7.0E-4,0.0082,0.0011,0.0,0.0,0.0,1.0E-4,0.0011,1.0E-4
56,"Bartlett Springs 2011 CFM, Subsection 7",0.009,0.0,1.0E-4,1.0E-4,8.0E-4,0.009,0.0013,0.0,0.0,0.0,1.0E-4,0.0013,2.0E-4
