Parent ID,Parent Name,Total 10 Year Mean Count,Total 1 Day Prob,Total 1 Week Prob,Total 1 Month Prob,Total 1 Year Prob,Total 10 Year Prob,Triggered 10 Year Mean Count,Triggered 1 Day Prob,Triggered 1 Week Prob,Triggered 1 Month Prob,Triggered 1 Year Prob,Triggered 10 Year Prob,Triggered 10 Year Primary Mean Count
861,Airport Lake,0.0113,0.0,1.0E-4,6.0E-4,0.0047,0.0112,0.0113,0.0,1.0E-4,6.0E-4,0.0047,0.0112,0.008
667,Almanor 2011 CFM,0.0021,0.0,0.0,1.0E-4,2.0E-4,0.002,0.0021,0.0,0.0,1.0E-4,2.0E-4,0.002,0.0011
219,Anacapa-Dume alt 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Anaheim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,Antelope Valley 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
845,Ash Hill,0.0047,0.0,0.0,3.0E-4,0.0016,0.0045,0.0047,0.0,0.0,3.0E-4,0.0016,0.0045,0.001
881,Baker,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
668,Bartlett Springs 2011 CFM,3.0E-4,0.0,0.0,0.0,1.0E-4,3.0E-4,3.0E-4,0.0,0.0,0.0,1.0E-4,3.0E-4,0.0
669,Battle Creek 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
842,Bear River fault zone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
581,Bennett Valley 2011 CFM,7.0E-4,0.0,0.0,1.0E-4,1.0E-4,7.0E-4,7.0E-4,0.0,0.0,1.0E-4,1.0E-4,7.0E-4,1.0E-4
158,Bicycle Lake,7.0E-4,0.0,0.0,0.0,2.0E-4,7.0E-4,7.0E-4,0.0,0.0,0.0,2.0E-4,7.0E-4,1.0E-4
741,Big Lagoon - Bald Mtn 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Big Pine (Central),1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
191,Big Pine (East),3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,0.0
200,Big Pine (West),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Blackwater,0.003,0.0,0.0,0.0,9.0E-4,0.003,0.003,0.0,0.0,0.0,9.0E-4,0.003,8.0E-4
169,Blue Cut,1.0E-4,0.0,0.0,1.0E-4,1.0E-4,1.0E-4,1.0E-4,0.0,0.0,1.0E-4,1.0E-4,1.0E-4,1.0E-4
170,Brawley (Seismic Zone) alt 1,0.0099,0.0,1.0E-4,4.0E-4,0.0016,0.0097,0.0099,0.0,1.0E-4,4.0E-4,0.0016,0.0097,0.0062
541,Breckenridge 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882,Bullion Mountains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Burnt Mtn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,Butano 2011 CFM,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,2.0E-4,0.0,0.0,0.0,0.0,2.0E-4,0.0
165,Cady,4.0E-4,0.0,0.0,0.0,3.0E-4,4.0E-4,4.0E-4,0.0,0.0,0.0,3.0E-4,4.0E-4,1.0E-4
602,Calaveras (Central) 2011 CFM,0.0028,0.0,1.0E-4,3.0E-4,0.0011,0.0024,0.0028,0.0,1.0E-4,3.0E-4,0.0011,0.0024,0.001
601,Calaveras (No) 2011 CFM,0.001,0.0,0.0,0.0,4.0E-4,0.001,0.001,0.0,0.0,0.0,4.0E-4,0.001,4.0E-4
621,Calaveras (So) - Paicines extension 2011 CFM,0.0044,1.0E-4,5.0E-4,8.0E-4,0.0021,0.0043,0.0044,1.0E-4,5.0E-4,8.0E-4,0.0021,0.0043,0.002
603,Calaveras (So) 2011 CFM,0.0026,0.0,3.0E-4,5.0E-4,0.0014,0.0026,0.0026,0.0,3.0E-4,5.0E-4,0.0014,0.0026,9.0E-4
88,Calico-Hidalgo,2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,1.0E-4
724,Camp Rock 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,Canada David (Detachment),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Carlsbad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,Carson Range (Genoa),3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,3.0E-4,0.0,0.0,0.0,0.0,3.0E-4,2.0E-4
670,Casmalia 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Cedar Mtn-Mahogany Mtn,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
172,Cerro Prieto,0.0026,0.0,1.0E-4,1.0E-4,7.0E-4,0.0026,0.0026,0.0,1.0E-4,1.0E-4,7.0E-4,0.0026,0.0015
129,Channel Islands Thrust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,Channel Islands Western Deep Ramp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Chino alt 1,3.0E-4,0.0,0.0,0.0,1.0E-4,3.0E-4,3.0E-4,0.0,0.0,0.0,1.0E-4,3.0E-4,0.0
124,Clamshell-Sawpit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
844,Clayton,3.0E-4,0.0,0.0,0.0,2.0E-4,3.0E-4,3.0E-4,0.0,0.0,0.0,2.0E-4,3.0E-4,1.0E-4
81,Cleghorn,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
884,Cleghorn Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883,Cleghorn Pass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,Collayami 2011 CFM,2.0E-4,0.0,0.0,0.0,2.0E-4,2.0E-4,2.0E-4,0.0,0.0,0.0,2.0E-4,2.0E-4,2.0E-4
184,Compton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,Concord 2011 CFM,0.0019,0.0,1.0E-4,3.0E-4,0.001,0.0019,0.0019,0.0,1.0E-4,3.0E-4,0.001,0.0019,0.001
626,Contra Costa (Lafayette) 2011 CFM,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
633,Contra Costa Shear Zone (connector) 2011 CFM,5.0E-4,0.0,0.0,0.0,1.0E-4,5.0E-4,5.0E-4,0.0,0.0,0.0,1.0E-4,5.0E-4,1.0E-4
776,Coronado Bank alt1,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
157,Coyote Canyon,0.0014,0.0,0.0,0.0,3.0E-4,0.0012,0.0014,0.0,0.0,0.0,3.0E-4,0.0012,1.0E-4
163,Coyote Lake,2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,0.0
125,Cucamonga,1.0E-4,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4,0.0,0.0,0.0,1.0E-4,1.0E-4,0.0
894,Davis Creek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Death Valley (Black Mtns Frontal),4.0E-4,0.0,0.0,0.0,1.0E-4,4.0E-4,4.0E-4,0.0,0.0,0.0,1.0E-4,4.0E-4,1.0E-4
45,Death Valley (Fish Lake Valley),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Death Valley (No),1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
246,Death Valley (So),0.0012,0.0,0.0,0.0,2.0E-4,0.0012,0.0012,0.0,0.0,0.0,2.0E-4,0.0012,1.0E-4
51,Deep Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,Del Valle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
889,Dog Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
888,Dry Mountain,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
249,Earthquake Valley,2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,1.0E-4
255,Earthquake Valley (No  Extension),1.0E-4,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
256,Earthquake Valley (So Extension),2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,1.0E-4
671,East Huasna 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,Eaton Roughs 2011 CFM,2.0E-4,0.0,0.0,0.0,0.0,1.0E-4,2.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
96,Elmore Ranch,0.001,0.0,0.0,0.0,1.0E-4,0.001,0.001,0.0,0.0,0.0,1.0E-4,0.001,2.0E-4
103,Elsinore (Coyote Mountains),6.0E-4,0.0,0.0,0.0,1.0E-4,6.0E-4,6.0E-4,0.0,0.0,0.0,1.0E-4,6.0E-4,4.0E-4
296,Elsinore (Glen Ivy) rev,0.0026,0.0,0.0,0.0,5.0E-4,0.0022,0.0026,0.0,0.0,0.0,5.0E-4,0.0022,0.0012
102,Elsinore (Julian),1.0E-4,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4,0.0,0.0,0.0,1.0E-4,1.0E-4,1.0E-4
402,Elsinore (Stepovers Combined),2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,1.0E-4
299,Elsinore (Temecula) rev,2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,2.0E-4,0.0,0.0,0.0,1.0E-4,2.0E-4,2.0E-4
196,Elysian Park (Lower CFM),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Elysian Park (Upper),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Emerson-Copper Mtn 2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Eureka Peak,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,1.0E-4,0.0,0.0,0.0,0.0,1.0E-4,0.0
20,Fickle Hill (alt1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,Fish Slough 2011 CFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
