Subsection Index,Subsection Name,Total Mean Annual Rate,Total 100 Year Prob,Long-Term Fault System Solution Rate
0,"Airport Lake, Subsection 0",1.6E-4,0.016,2.9338957E-4
1,"Airport Lake, Subsection 1",1.9E-4,0.019,3.1973762E-4
2,"Airport Lake, Subsection 2",2.2E-4,0.022,3.1357096E-4
3,"Airport Lake, Subsection 3",2.2E-4,0.022,3.214753E-4
4,"Airport Lake, Subsection 4",2.9E-4,0.029,4.3677073E-4
5,"Airport Lake, Subsection 5",2.4E-4,0.024,4.0593147E-4
6,"Almanor 2011 CFM, Subsection 0",0.00113,0.111,0.0018917301
7,"Almanor 2011 CFM, Subsection 1",0.0012,0.118,0.0019707337
8,"Almanor 2011 CFM, Subsection 2",0.00107,0.105,0.001749289
9,"Almanor 2011 CFM, Subsection 3",0.00103,0.101,0.0016255941
10,"Almanor 2011 CFM, Subsection 4",0.0011,0.109,0.0017234321
11,"Almanor 2011 CFM, Subsection 5",0.00124,0.121,0.0019981645
12,"Almanor 2011 CFM, Subsection 6",0.00117,0.114,0.0018625765
13,"Anacapa-Dume alt 1, Subsection 0",8.0E-5,0.008,1.9454768E-4
14,"Anacapa-Dume alt 1, Subsection 1",9.0E-5,0.009,2.2410021E-4
15,"Anacapa-Dume alt 1, Subsection 2",8.0E-5,0.008,2.0702143E-4
16,"Anacapa-Dume alt 1, Subsection 3",8.0E-5,0.008,1.9576242E-4
17,"Anacapa-Dume alt 1, Subsection 4",6.0E-5,0.006,1.2726267E-4
18,"Anaheim, Subsection 0",5.0E-5,0.005,1.3215712E-4
19,"Anaheim, Subsection 1",5.0E-5,0.005,1.5264863E-4
20,"Anaheim, Subsection 2",1.0E-5,0.001,8.915614E-5
21,"Antelope Valley 2011, Subsection 0",5.4E-4,0.054,9.916205E-4
22,"Antelope Valley 2011, Subsection 1",5.8E-4,0.058,0.0010624981
23,"Antelope Valley 2011, Subsection 2",4.5E-4,0.044,8.6585E-4
24,"Antelope Valley 2011, Subsection 3",4.1E-4,0.04,8.644737E-4
25,"Antelope Valley 2011, Subsection 4",5.6E-4,0.055,0.0010675386
26,"Antelope Valley 2011, Subsection 5",5.3E-4,0.052,9.939806E-4
