Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,Fault System Solution,500 yr Probability,500 yr Supra-Seis Prob,Primary Aftershocks Mean
5.0,0.335516,0.142,0.908,0.266,0.234,8.608642,1.0,0.995,0.089902
5.1,0.265562,0.108,0.71,0.212,0.16,6.830068,1.0,0.995,0.071724
5.2,0.21037,0.084,0.558,0.168,0.148,5.4173,1.0,0.995,0.057316
5.3,0.165746,0.064,0.438,0.134,0.11,4.2950974,1.0,0.995,0.045582
5.4,0.130928,0.048,0.344,0.106,0.074,3.4037008,1.0,0.995,0.036542
5.5,0.103176,0.036,0.266,0.084,0.058,2.6956394,1.0,0.995,0.029362
5.6,0.080686,0.026,0.208,0.066,0.052,2.1332066,1.0,0.995,0.023624
5.7,0.062706,0.02,0.162,0.052,0.044,1.6863642,1.0,0.995,0.018958
5.8,0.048514,0.014,0.126,0.04,0.024,1.3311276,1.0,0.995,0.015214
5.9,0.036446,0.01,0.096,0.03,0.024,1.0356472,1.0,0.994,0.011936
6.0,0.028438,0.008,0.07,0.024,0.022,0.83624506,1.0,0.994,0.009738
6.1,0.021206,0.004,0.052,0.018,0.014,0.66032434,0.998,0.986,0.00755
6.2,0.017042,0.004,0.044,0.016,0.016,0.5290011,0.993,0.975,0.00624
6.3,0.01394,0.002,0.038,0.012,0.008,0.42016467,0.985,0.972,0.005264
6.4,0.010902,0.002,0.028,0.01,0.008,0.33243415,0.976,0.961,0.004188
6.5,0.00846,0.0,0.022,0.008,0.006,0.2601263,0.959,0.935,0.003278
6.6,0.006716,0.0,0.018,0.006,0.004,0.20548344,0.93,0.895,0.00267
6.7,0.005204,0.0,0.014,0.004,0.002,0.16021843,0.875,0.836,0.002114
6.8,0.004174,0.0,0.014,0.004,0.002,0.12689023,0.813,0.774,0.001736
6.9,0.003374,0.0,0.012,0.002,0.002,0.09975841,0.753,0.722,0.001446
7.0,0.002764,0.0,0.01,0.002,0.0,0.077940285,0.674,0.654,0.001206
7.1,0.002082,0.0,0.008,0.002,0.0,0.05961322,0.582,0.563,9.32E-4
7.2,0.001664,0.0,0.008,0.002,0.0,0.045241926,0.511,0.502,7.6E-4
7.3,0.001384,0.0,0.006,0.0,0.0,0.035294022,0.447,0.441,6.5E-4
7.4,0.00112,0.0,0.006,0.0,0.0,0.026938815,0.389,0.387,5.34E-4
7.5,8.74E-4,0.0,0.006,0.0,0.0,0.019023713,0.321,0.32,4.06E-4
7.6,6.94E-4,0.0,0.004,0.0,0.0,0.013821237,0.262,0.262,3.06E-4
7.7,5.22E-4,0.0,0.004,0.0,0.0,0.009578903,0.21,0.21,2.32E-4
7.8,4.14E-4,0.0,0.004,0.0,0.0,0.006191872,0.174,0.174,1.86E-4
7.9,2.08E-4,0.0,0.002,0.0,0.0,0.0035149523,0.096,0.096,7.8E-5
8.0,9.8E-5,0.0,0.002,0.0,0.0,0.0020316083,0.048,0.048,4.4E-5
8.1,3.2E-5,0.0,0.0,0.0,0.0,0.0010248122,0.016,0.016,1.0E-5
8.2,8.0E-6,0.0,0.0,0.0,0.0,4.4834707E-4,0.004,0.004,2.0E-6
8.3,0.0,0.0,0.0,0.0,0.0,1.0199686E-4,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
