Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob
5.0,0.14100906,0.0,1.0,0.0,0.0,0.09831824,0.0025873221
5.1,0.112548515,0.0,1.0,0.0,0.0,0.08020698,0.0025873221
5.2,0.08279431,0.0,1.0,0.0,0.0,0.06080207,0.0025873221
5.3,0.058214746,0.0,1.0,0.0,0.0,0.043984476,0.0025873221
5.4,0.047865458,0.0,1.0,0.0,0.0,0.034928847,0.0025873221
5.5,0.03751617,0.0,1.0,0.0,0.0,0.028460544,0.0025873221
5.6,0.034928847,0.0,1.0,0.0,0.0,0.027166883,0.0025873221
5.7,0.028460544,0.0,0.0,0.0,0.0,0.021992238,0.0025873221
5.8,0.02457956,0.0,0.0,0.0,0.0,0.020698577,0.0025873221
5.9,0.018111255,0.0,0.0,0.0,0.0,0.014230272,0.0025873221
6.0,0.010349289,0.0,0.0,0.0,0.0,0.0090556275,0.0025873221
6.1,0.0064683054,0.0,0.0,0.0,0.0,0.0051746443,0.0025873221
6.2,0.0038809832,0.0,0.0,0.0,0.0,0.0025873221,0.0012936611
6.3,0.0038809832,0.0,0.0,0.0,0.0,0.0025873221,0.0012936611
6.4,0.0012936611,0.0,0.0,0.0,0.0,0.0012936611,0.0012936611
6.5,0.0012936611,0.0,0.0,0.0,0.0,0.0012936611,0.0012936611
6.6,0.0012936611,0.0,0.0,0.0,0.0,0.0012936611,0.0012936611
6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
