Subsection Index,Subsection Name,Total Mean Annual Rate,Total 100 Year Prob
0,"Airport Lake, Subsection 0",1.0E-4,0.01
1,"Airport Lake, Subsection 1",1.1E-4,0.011
2,"Airport Lake, Subsection 2",1.2E-4,0.012
3,"Airport Lake, Subsection 3",1.0E-4,0.01
4,"Airport Lake, Subsection 4",1.0E-4,0.01
5,"Airport Lake, Subsection 5",8.0E-5,0.008
6,"Almanor 2011 CFM, Subsection 0",4.2E-4,0.042
7,"Almanor 2011 CFM, Subsection 1",4.3E-4,0.043
8,"Almanor 2011 CFM, Subsection 2",4.5E-4,0.045
9,"Almanor 2011 CFM, Subsection 3",4.5E-4,0.045
10,"Almanor 2011 CFM, Subsection 4",4.6E-4,0.046
11,"Almanor 2011 CFM, Subsection 5",4.6E-4,0.046
12,"Almanor 2011 CFM, Subsection 6",3.9E-4,0.039
13,"Anacapa-Dume alt 1, Subsection 0",1.2E-4,0.012
14,"Anacapa-Dume alt 1, Subsection 1",1.5E-4,0.015
15,"Anacapa-Dume alt 1, Subsection 2",1.7E-4,0.017
16,"Anacapa-Dume alt 1, Subsection 3",1.7E-4,0.017
17,"Anacapa-Dume alt 1, Subsection 4",1.1E-4,0.011
18,"Anaheim, Subsection 0",1.0E-5,0.001
19,"Anaheim, Subsection 1",2.0E-5,0.002
20,"Anaheim, Subsection 2",2.0E-5,0.002
21,"Antelope Valley 2011, Subsection 0",3.4E-4,0.034
22,"Antelope Valley 2011, Subsection 1",3.9E-4,0.039
23,"Antelope Valley 2011, Subsection 2",4.8E-4,0.048
24,"Antelope Valley 2011, Subsection 3",4.5E-4,0.045
25,"Antelope Valley 2011, Subsection 4",4.2E-4,0.042
26,"Antelope Valley 2011, Subsection 5",3.6E-4,0.036
27,"Ash Hill, Subsection 0",1.5E-4,0.015
28,"Ash Hill, Subsection 1",1.8E-4,0.018
29,"Ash Hill, Subsection 2",2.4E-4,0.024
30,"Ash Hill, Subsection 3",2.4E-4,0.024
31,"Ash Hill, Subsection 4",2.1E-4,0.021
32,"Ash Hill, Subsection 5",1.9E-4,0.019
33,"Ash Hill, Subsection 6",1.7E-4,0.017
34,"Ash Hill, Subsection 7",1.4E-4,0.014
35,"Baker, Subsection 0",3.0E-5,0.003
36,"Baker, Subsection 1",3.0E-5,0.003
37,"Baker, Subsection 2",3.0E-5,0.003
38,"Baker, Subsection 3",5.0E-5,0.005
39,"Baker, Subsection 4",5.0E-5,0.005
40,"Baker, Subsection 5",5.0E-5,0.005
41,"Baker, Subsection 6",5.0E-5,0.005
42,"Baker, Subsection 7",4.0E-5,0.004
43,"Baker, Subsection 8",4.0E-5,0.004
44,"Baker, Subsection 9",3.0E-5,0.003
45,"Baker, Subsection 10",3.0E-5,0.003
46,"Baker, Subsection 11",3.0E-5,0.003
47,"Baker, Subsection 12",3.0E-5,0.003
48,"Baker, Subsection 13",3.0E-5,0.003
49,"Bartlett Springs 2011 CFM, Subsection 0",8.0E-4,0.08
50,"Bartlett Springs 2011 CFM, Subsection 1",8.3E-4,0.083
51,"Bartlett Springs 2011 CFM, Subsection 2",7.6E-4,0.076
52,"Bartlett Springs 2011 CFM, Subsection 3",7.7E-4,0.076
53,"Bartlett Springs 2011 CFM, Subsection 4",7.9E-4,0.078
