Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,10.94634,3.0,22.0,9.0,9.0,0.99984,8.9E-4,8.48534
2.6,8.69182,2.0,18.0,7.0,7.0,0.99905,8.9E-4,6.7378
2.7,6.8981,1.0,15.0,6.0,5.0,0.99579,8.9E-4,5.3496
2.8,5.48239,1.0,13.0,5.0,4.0,0.98659,8.9E-4,4.25306
2.9,4.35246,0.0,11.0,4.0,3.0,0.96824,8.9E-4,3.37656
3.0,3.45486,0.0,9.0,3.0,2.0,0.93523,8.9E-4,2.6797
3.1,2.74273,0.0,8.0,2.0,2.0,0.88794,8.9E-4,2.12605
3.2,2.1796,0.0,6.0,2.0,1.0,0.82551,8.9E-4,1.68934
3.3,1.7308,0.0,6.0,1.0,1.0,0.75118,8.9E-4,1.34128
3.4,1.37505,0.0,5.0,1.0,1.0,0.67144,8.9E-4,1.06748
3.5,1.09194,0.0,4.0,1.0,0.0,0.58951,8.9E-4,0.84851
3.6,0.86735,0.0,4.0,1.0,0.0,0.50934,8.9E-4,0.67382
3.7,0.68999,0.0,3.0,0.0,0.0,0.43497,8.9E-4,0.53731
3.8,0.54795,0.0,3.0,0.0,0.0,0.36529,8.9E-4,0.42596
3.9,0.43328,0.0,2.0,0.0,0.0,0.30373,8.9E-4,0.33668
4.0,0.34199,0.0,2.0,0.0,0.0,0.24938,8.9E-4,0.26596
4.1,0.27197,0.0,2.0,0.0,0.0,0.20502,8.9E-4,0.21167
4.2,0.21584,0.0,2.0,0.0,0.0,0.16773,8.9E-4,0.16836
4.3,0.1713,0.0,1.0,0.0,0.0,0.13624,8.9E-4,0.13364
4.4,0.13439,0.0,1.0,0.0,0.0,0.10899,8.9E-4,0.10485
4.5,0.10611,0.0,1.0,0.0,0.0,0.08753,8.9E-4,0.08268
4.6,0.08456,0.0,1.0,0.0,0.0,0.0708,8.9E-4,0.066
4.7,0.06767,0.0,1.0,0.0,0.0,0.0573,8.9E-4,0.05282
4.8,0.05358,0.0,1.0,0.0,0.0,0.0455,8.9E-4,0.04167
4.9,0.04244,0.0,1.0,0.0,0.0,0.03649,8.9E-4,0.03326
5.0,0.03393,0.0,1.0,0.0,0.0,0.02945,8.9E-4,0.02676
5.1,0.02682,0.0,0.0,0.0,0.0,0.02358,8.9E-4,0.02117
5.2,0.02106,0.0,0.0,0.0,0.0,0.01858,8.9E-4,0.01647
5.3,0.01665,0.0,0.0,0.0,0.0,0.01485,8.9E-4,0.01301
5.4,0.01325,0.0,0.0,0.0,0.0,0.01183,8.9E-4,0.01028
5.5,0.01053,0.0,0.0,0.0,0.0,0.00947,8.9E-4,0.00808
5.6,0.00819,0.0,0.0,0.0,0.0,0.00746,8.9E-4,0.00637
5.7,0.00632,0.0,0.0,0.0,0.0,0.00577,8.9E-4,0.00483
5.8,0.00493,0.0,0.0,0.0,0.0,0.0045,8.9E-4,0.00367
5.9,0.00371,0.0,0.0,0.0,0.0,0.00343,8.9E-4,0.00281
6.0,0.00288,0.0,0.0,0.0,0.0,0.00267,8.9E-4,0.00219
6.1,0.00215,0.0,0.0,0.0,0.0,0.002,8.0E-4,0.00165
6.2,0.00132,0.0,0.0,0.0,0.0,0.00123,5.6E-4,9.6E-4
6.3,9.6E-4,0.0,0.0,0.0,0.0,9.2E-4,4.4E-4,7.2E-4
6.4,8.2E-4,0.0,0.0,0.0,0.0,7.8E-4,4.3E-4,6.1E-4
6.5,5.8E-4,0.0,0.0,0.0,0.0,5.4E-4,3.3E-4,4.0E-4
6.6,4.5E-4,0.0,0.0,0.0,0.0,4.4E-4,2.6E-4,3.4E-4
6.7,3.3E-4,0.0,0.0,0.0,0.0,3.2E-4,2.2E-4,2.6E-4
6.8,2.8E-4,0.0,0.0,0.0,0.0,2.8E-4,2.1E-4,2.3E-4
6.9,2.4E-4,0.0,0.0,0.0,0.0,2.4E-4,2.0E-4,2.1E-4
7.0,1.7E-4,0.0,0.0,0.0,0.0,1.7E-4,1.5E-4,1.4E-4
7.1,1.1E-4,0.0,0.0,0.0,0.0,1.1E-4,1.1E-4,9.0E-5
7.2,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,5.0E-5,5.0E-5
7.3,2.0E-5,0.0,0.0,0.0,0.0,2.0E-5,2.0E-5,2.0E-5
7.4,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
7.5,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
7.6,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
