Section Name,"Strike, Dip, Rake",# Hypos In Poly,Max Mag w/ Hypo In Poly,# Surfs In Poly,Max Mag w/ Surf In Poly,Min Dist To Any (km),Min Poly Dist To Any (km),Min Dist To Largest (km),Min Poly Dist To Largest (km),Min Hypo Dist To Largest (km),Min Hypo Poly Dist To Largest (km)
Airport Lake,"359, 50, -90",91,7.1,91,7.1,0.108,0.000,0.108,0.000,5.612,0.000
Little Lake,"327, 90, 180",15,3.75,16,7.1,0.187,0.000,0.187,0.000,13.471,1.469
Garlock (Central),"71, 90, 0",2,2.76,3,7.1,4.496,0.000,4.496,0.000,22.766,10.797
So Sierra Nevada,"2, 50, -90",0,,0,,2.006,1.025,2.006,1.025,16.191,15.188
Tank Canyon,"189, 50, -90",0,,0,,8.074,8.068,8.074,8.068,17.039,16.895
Blackwater,"323, 90, 180",0,,0,,12.517,7.767,12.517,7.767,29.622,27.613
Scodie Lineament,"221, 68, 0",0,,0,,25.947,21.338,25.947,21.338,36.559,32.668
Panamint Valley,"334, 90, -150",0,,0,,28.960,17.026,28.960,17.026,34.350,22.425
White Wolf (Extension),"46, 75, 60",0,,0,,31.400,29.133,31.400,29.133,45.679,43.721
Ash Hill,"162, 90, 180",0,,0,,33.237,21.600,33.561,21.600,35.690,25.242
Gravel Hills-Harper Lk,"311, 90, 180",0,,0,,34.306,24.987,34.306,24.987,50.134,42.769
McLean Lake,"91, 90, 0",0,,0,,37.134,36.833,37.134,36.833,54.042,51.306
Sierra Nevada  (No Extension),"344, 50, -90",0,,0,,39.260,39.217,39.260,39.217,58.680,58.391
Goldstone Lake,"325, 90, 180",0,,0,,39.400,33.432,39.400,33.432,56.861,52.490
Lenwood-Lockhart-Old Woman Springs,"301, 90, 180",0,,0,,41.731,30.819,42.034,30.819,59.786,48.595
Garlock (East),"91, 90, 0",0,,0,,43.810,43.662,43.810,43.662,57.701,56.627
Nelson Lake,"89, 90, 0",0,,0,,43.964,42.570,43.964,42.570,61.695,58.028
Owl Lake,"58, 90, 0",0,,0,,44.027,39.852,44.027,39.852,57.675,50.152
Paradise,"347, 90, 180",0,,0,,44.813,36.072,44.813,36.072,63.073,55.355
Garlock (West),"55, 90, 0",0,,0,,47.768,46.326,49.038,46.326,66.575,62.627
Towne Pass,"186, 50, -90",0,,0,,48.483,48.471,48.483,48.471,59.662,59.451
Owens Valley,"346, 90, 180",0,,0,,49.023,47.970,49.023,47.970,68.299,66.819
Helendale-So Lockhart,"322, 90, 180",0,,0,,49.819,42.847,49.819,42.847,66.879,58.781
Lake Isabella (Seismicity),"9, 90, 0",0,,0,,52.328,40.437,52.328,40.437,65.700,53.653
Kern Canyon (South Kern) 2011,"357, 60, -90",0,,0,,52.901,52.826,52.901,52.826,64.327,63.973
Kern Canyon (Lake Isabella) 2011,"20, 60, -90",0,,0,,54.614,54.550,54.614,54.550,66.376,66.044
Coyote Canyon,"96, 90, 0",0,,0,,57.107,52.052,57.107,52.052,75.557,69.236
Death Valley (Black Mtns Frontal),"167, 60, -150",0,,0,,63.059,63.042,63.059,63.042,68.782,68.724
Kern Canyon (North Kern) 2011,"1, 60, -90",0,,0,,63.556,63.492,63.556,63.492,81.168,80.888
Hunter Mountain-Saline Valley,"304, 90, -150",0,,0,,64.382,53.594,64.382,53.594,77.497,67.795
Coyote Lake,"73, 90, 0",0,,0,,69.238,58.063,69.238,58.063,89.071,77.908
Death Valley (So),"318, 90, 180",0,,0,,70.207,58.377,70.207,58.377,76.238,65.398
Garlic Springs,"130, 90, 180",0,,0,,70.263,69.128,70.263,69.128,88.845,88.468
Bicycle Lake,"109, 90, 0",0,,0,,71.059,69.892,71.059,69.892,89.373,87.038
Independence rev 2011,"313, 50, -90",0,,0,,72.979,72.933,72.979,72.933,92.154,92.123
White Wolf,"41, 75, 60",0,,0,,73.267,72.635,73.267,72.635,89.285,88.663
Calico-Hidalgo,"306, 90, 180",0,,0,,74.430,74.141,74.430,74.141,94.213,93.988
Manix-Afton Hills,"72, 90, 0",0,,0,,90.144,79.781,90.144,79.781,109.989,99.575
Death Valley (No),"313, 90, 180",0,,0,,99.066,87.166,99.066,87.166,107.220,95.600
