Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 hr Probability,1 hr Supra-Seis Prob,Primary Aftershocks Mean
2.5,99.69496,76.0,133.0,97.0,97.0,1.0,0.00169,90.5636
2.6,79.18391,59.0,107.0,77.0,76.0,1.0,0.00169,71.92914
2.7,62.89832,45.0,86.0,61.0,61.0,1.0,0.00169,57.1399
2.8,49.96481,35.0,70.0,49.0,48.0,1.0,0.00169,45.39277
2.9,39.68794,26.0,57.0,39.0,39.0,1.0,0.00169,36.05044
3.0,31.51332,20.0,46.0,31.0,31.0,1.0,0.00169,28.62463
3.1,25.02674,15.0,38.0,24.0,23.0,1.0,0.00169,22.73282
3.2,19.87592,11.0,31.0,19.0,19.0,1.0,0.00169,18.05514
3.3,15.7904,8.0,26.0,15.0,15.0,1.0,0.00169,14.34617
3.4,12.53585,6.0,21.0,12.0,12.0,0.99999,0.00169,11.38943
3.5,9.95578,4.0,18.0,10.0,9.0,0.99988,0.00169,9.04796
3.6,7.90788,3.0,15.0,8.0,7.0,0.99933,0.00169,7.18418
3.7,6.27442,2.0,12.0,6.0,5.0,0.99716,0.00169,5.69901
3.8,4.97927,1.0,10.0,5.0,4.0,0.99042,0.00169,4.52505
3.9,3.95715,1.0,9.0,4.0,3.0,0.97609,0.00169,3.59786
4.0,3.13919,0.0,7.0,3.0,2.0,0.9482,0.00169,2.85568
4.1,2.48855,0.0,6.0,2.0,2.0,0.90376,0.00169,2.26472
4.2,1.97407,0.0,5.0,2.0,1.0,0.84314,0.00169,1.79591
4.3,1.56587,0.0,5.0,1.0,1.0,0.77088,0.00169,1.42376
4.4,1.24322,0.0,4.0,1.0,1.0,0.69055,0.00169,1.13024
4.5,0.98631,0.0,4.0,1.0,0.0,0.60673,0.00169,0.89646
4.6,0.78446,0.0,3.0,1.0,0.0,0.52356,0.00169,0.71317
4.7,0.62125,0.0,3.0,0.0,0.0,0.44396,0.00169,0.56428
4.8,0.49116,0.0,2.0,0.0,0.0,0.37236,0.00169,0.44651
4.9,0.38842,0.0,2.0,0.0,0.0,0.30906,0.00169,0.35284
5.0,0.30753,0.0,2.0,0.0,0.0,0.25437,0.00169,0.27894
5.1,0.24418,0.0,2.0,0.0,0.0,0.20849,0.00169,0.22141
5.2,0.19205,0.0,1.0,0.0,0.0,0.16843,0.00169,0.17406
5.3,0.15052,0.0,1.0,0.0,0.0,0.1348,0.00169,0.13633
5.4,0.11801,0.0,1.0,0.0,0.0,0.10761,0.00169,0.10689
5.5,0.09223,0.0,1.0,0.0,0.0,0.08517,0.00169,0.08358
5.6,0.07105,0.0,1.0,0.0,0.0,0.06654,0.00169,0.06439
5.7,0.05455,0.0,1.0,0.0,0.0,0.05173,0.00169,0.04949
5.8,0.04112,0.0,1.0,0.0,0.0,0.03934,0.00169,0.03715
5.9,0.03069,0.0,1.0,0.0,0.0,0.02952,0.00169,0.02784
6.0,0.02315,0.0,0.0,0.0,0.0,0.02239,0.00169,0.021
6.1,0.01779,0.0,0.0,0.0,0.0,0.0173,0.00161,0.01612
6.2,0.01305,0.0,0.0,0.0,0.0,0.01276,0.00144,0.0119
6.3,0.00967,0.0,0.0,0.0,0.0,0.00947,0.00112,0.00877
6.4,0.00717,0.0,0.0,0.0,0.0,0.00706,0.001,0.0065
6.5,0.00514,0.0,0.0,0.0,0.0,0.00506,9.2E-4,0.00463
6.6,0.00384,0.0,0.0,0.0,0.0,0.00377,9.0E-4,0.00344
6.7,0.00281,0.0,0.0,0.0,0.0,0.00277,7.9E-4,0.00253
6.8,0.00199,0.0,0.0,0.0,0.0,0.00197,6.3E-4,0.00178
6.9,0.00144,0.0,0.0,0.0,0.0,0.00144,5.2E-4,0.00127
7.0,8.8E-4,0.0,0.0,0.0,0.0,8.8E-4,3.4E-4,7.6E-4
7.1,6.5E-4,0.0,0.0,0.0,0.0,6.5E-4,3.0E-4,5.7E-4
7.2,4.1E-4,0.0,0.0,0.0,0.0,4.1E-4,2.0E-4,3.6E-4
7.3,2.4E-4,0.0,0.0,0.0,0.0,2.4E-4,1.4E-4,2.1E-4
7.4,1.6E-4,0.0,0.0,0.0,0.0,1.6E-4,1.1E-4,1.5E-4
7.5,8.0E-5,0.0,0.0,0.0,0.0,8.0E-5,8.0E-5,7.0E-5
7.6,4.0E-5,0.0,0.0,0.0,0.0,4.0E-5,4.0E-5,3.0E-5
7.7,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,1.0E-5
7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
